DateTime,AddedIPs,RemovedIPs
1657057325,6,15
1657059486,7,8
1657060625,3,5
1657062364,1,15
1657063806,8,4
1657064526,6,2
1657065965,6,9
1657068126,17,5
1657068845,6,0
1657069566,5,5
1657070284,4,0
1657071362,0,865
1657072084,867,0
1657073166,2,2
1657073526,1,0
1657074665,230,2
1657075327,4,1
1657077484,14,14
1657078205,4,8
1657078926,1,5
1657079646,2,1
1657080726,2,7
1657081806,3,9
1657082886,3,8
1657084325,7,5
1657085405,8,6
1657086486,17,4
1657087564,11,7
1657088286,1,2
1657089726,9,7
1657090444,3,1
1657091166,2,7
1657091885,1,1
1657092244,4,1
1657092965,2,9
1657094764,11,17
1657095846,5,1
1657096567,2,11
1657097286,1,2
1657099084,4,8
1657099805,1,9
1657100883,0,1067
1657101244,1067,0
1657101965,5,9
1657102687,2,0
1657104126,9,5
1657104845,1,3
1657105564,4,9
1657106285,0,6
1657107725,3,6
1657108987,7,2
1657109885,2,0
1657111684,0,14
1657113127,2,6
1657113845,1,2
1657114925,4,6
1657115643,2,0
1657116742,4,5
1657117445,2,0
1657117807,0,9
1657119245,1,4
1657121044,2,6
1657121766,2,3
1657122127,2,0
1657122844,2,1
1657123925,3,10
1657124284,3,0
1657126085,6,155
1657126446,0,1
1657127165,0,4
1657128606,9,7
1657130765,6,15
1657132206,10,9
1657132924,11,1
1657134726,16,5
1657135446,4,3
1657136166,3,6
1657136885,3,3
1657137964,4,3
1657138685,3,0
1657140485,5,13
1657142285,11,5
1657142646,2,0
1657143366,13,6
1657145164,0,894
1657145884,902,0
1657146606,1,2
1657147324,2,6
1657148046,1,1
1657148764,2,8
1657149845,0,1
1657150566,2,4
1657151285,3,2
1657152364,7,8
1657153806,5,14
1657154944,6,3
1657157045,14,12
1657157764,5,5
1657158965,4,2
1657159924,2,4
1657161725,3,9
1657163884,1,6
1657164967,4,11
1657165686,2,4
1657167125,3,3
1657167845,1,0
1657168566,3,8
1657168926,0,2
1657170364,1,5
1657170725,3,0
1657171865,2,4
1657172525,1,0
1657173246,1,0
1657173964,13,4
1657175087,15,0
1657175765,5,2
1657177564,5,14
1657178646,1,1
1657179364,0,1
1657179725,2,0
1657180926,3,2
1657181884,1,0
1657182245,5,0
1657184104,4,3
1657184765,3,1
1657185125,1,0
1657185843,1,0
1657186564,2,2
1657187645,1,0
1657188367,3,0
1657189086,2,1
1657189445,0,893
1657190165,895,0
1657190885,2,0
1657192684,4,2
1657193765,5,10
1657194846,12,1
1657195564,11,2
1657196285,8,0
1657196645,1,0
1657197724,4,22
1657198084,2,0
1657198808,6,3
1657199251,1,0
1657200244,7,0
1657200966,3,6
1657201325,0,2
1657202409,5,1
1657203125,24,1
1657203845,6,1
1657204925,5,9
1657205285,1,0
1657206414,1,5
1657208164,7,5
1657208885,6,0
1657210324,22,16
1657211044,21,2
1657211765,2,8
1657212485,2,4
1657212845,3,0
1657213564,0,3
1657215006,7,4
1657216446,4,2
1657218244,3,5
1657219324,3,19
1657220510,5,6
1657221484,4,2
1657222206,2,3
1657223645,6,7
1657224364,5,9
1657225806,8,8
1657226526,11,4
1657227725,8,6
1657229045,8,3
1657229766,7,3
1657230486,6,4
1657231565,9,0
1657233364,7,8
1657234086,4,6
1657235584,2,2
1657236725,4,10
1657237684,4,6
1657238408,3,8
1657239124,1,0
1657240925,16,15
1657241644,2,0
1657242365,1,2
1657243085,1,0
1657243807,3,9
1657244525,5,1
1657245244,3,1
1657245966,4,152
1657247764,9,10
1657248125,5,1
1657248844,2,0
1657249564,0,3
1657250284,4,0
1657251005,1,4
1657251725,4,1
1657252444,0,1
1657253166,3,6
1657253886,2,0
1657254245,0,1
1657254966,2,9
1657255687,12,9
1657256765,24,20
1657258565,30,4
1657259284,7,2
1657259645,1,0
1657260365,6,8
1657260726,4,0
1657261444,2,0
1657262525,7,10
1657264324,8,9
1657264684,4,0
1657266125,7,9
1657266845,3,0
1657267565,4,6
1657269364,10,6
1657269725,1,2
1657271525,12,6
1657271885,2,0
1657272605,3,9
1657273325,2,3
1657273685,3,1
1657275126,8,1
1657275845,5,0
1657277645,13,2
1657278726,6,7
1657279805,5,2
1657280524,3,1
1657282326,7,2
1657283408,5,2
1657284546,3,0
1657285652,3,5
1657286646,9,0
1657287006,0,3
1657288444,8,1
1657289886,11,1
1657290606,6,4
1657291326,6,0
1657291686,2,0
1657292824,12,2
1657293485,6,0
1657293844,1,0
1657294564,6,8
1657294924,1,0
1657296726,13,5
1657297445,7,1
1657298166,7,6
1657298885,3,4
1657300684,9,6
1657301407,3,10
1657302124,4,5
1657302845,5,0
1657304644,10,25
1657305006,2,6
1657305726,1,2
1657306444,5,0
1657307525,3,7
1657308664,6,12
1657310407,12,4
1657311486,7,1
1657311844,3,1
1657312565,9,17
1657314365,5,24
1657315807,7,3
1657316886,5,1
1657317245,2,0
1657318325,1,2
1657319406,7,3
1657321566,12,13
1657322285,4,0
1657322646,9,0
1657323725,10,7
1657324445,6,0
1657325164,1,14
1657325525,2,0
1657326665,8,8
1657327684,2,5
1657329126,4,5
1657330265,8,8
1657330927,2,1
1657331644,4,0
1657332366,2,1
1657333085,4,0
1657334164,6,5
1657335966,12,8
1657336325,3,0
1657337045,3,0
1657338485,2,8
1657339564,1,1
1657341005,2,7
1657341727,4,3
1657342444,6,0
1657343526,4,4
1657344665,3,15
1657345326,1,1
1657346046,4,1
1657346765,1,3
1657347125,2,0
1657347846,6,0
1657348566,9,1
1657349285,5,0
1657349645,3,2
1657350725,6,3
1657351864,6,5
1657352884,3,2
1657353965,2,3
1657355044,4,2
1657355408,3,7
1657356485,4,1
1657358284,7,2
1657359005,2,4
1657359364,1,1
1657360566,7,1
1657361884,3,4
1657362608,3,7
1657363324,0,1
1657363686,1,0
1657364766,2,6
1657365486,2,2
1657366206,3,8
1657367284,2,3
1657368008,2,7
1657369805,2,8
1657370165,1,0
1657371965,2,7
1657372684,2,0
1657373407,2,33
1657374485,2,1
1657375924,3,4
1657376645,2,0
1657377724,4,4
1657378086,1,0
1657379165,4,5
1657380967,4,36
1657382045,3,0
1657383125,3,6
1657383485,3,0
1657384926,0,10
1657386725,457,3
1657387085,36,1
1657388166,5,2
1657389367,0,2
1657389964,1,8
1657391764,6,19
1657392125,1,4
1657392845,1,1
1657393564,3,10
1657393925,1,1
1657395726,6,18
1657396444,0,3
1657397524,3,14
1657398245,2,1
1657398964,1,8
1657399325,0,5
1657400524,3,10
1657401484,4,3
1657403285,15,12
1657404426,10,8
1657405444,2,1
1657407244,16,11
1657407965,1,8
1657408684,1,0
1657409045,2,2
1657409765,3,9
1657410485,2,6
1657411925,8,3
1657412645,6,1
1657413364,4,5
1657414084,1,4
1657414445,0,1
1657415166,2,6
1657415885,4,1
1657416966,3,5
1657418164,3,5
1657418764,2,7
1657419485,2,1
1657421285,5,10
1657421644,4,0
1657422365,6,9
1657423085,7,3
1657423444,4,0
1657425246,2,7
1657425964,0,28
1657426325,1,0
1657427465,3,34
1657428485,2,5
1657429208,1,12
1657429925,1,1
1657430647,0,2
1657431726,2,9
1657432445,2,1
1657433165,2,8
1657433886,2,2
1657436046,5,12
1657436765,2,6
1657437483,2,0
1657438206,0,15
1657438924,3,0
1657439645,1,2
1657440365,3,10
1657441084,7,1
1657441805,1,3
1657442165,4,1
1657442884,3,3
1657443964,4,6
1657445105,3,1
1657446126,4,24
1657447624,6,8
1657448285,9,0
1657449367,5,12
