DateTime,Entries,UniqueIPs
1657057325,8822,8822
1657059486,8821,8821
1657060625,8819,8819
1657062364,8805,8805
1657063806,8809,8809
1657064526,8813,8813
1657065965,8810,8810
1657068126,8822,8822
1657068845,8828,8828
1657069566,8828,8828
1657070284,8832,8832
1657071362,7967,7967
1657072084,8834,8834
1657073166,8834,8834
1657073526,8835,8835
1657074665,9063,9063
1657075327,9066,9066
1657077484,9066,9066
1657078205,9062,9062
1657078926,9058,9058
1657079646,9059,9059
1657080726,9054,9054
1657081806,9048,9048
1657082886,9043,9043
1657084325,9045,9045
1657085405,9047,9047
1657086486,9060,9060
1657087564,9064,9064
1657088286,9063,9063
1657089726,9065,9065
1657090444,9067,9067
1657091166,9062,9062
1657091885,9062,9062
1657092244,9065,9065
1657092965,9058,9058
1657094764,9052,9052
1657095846,9056,9056
1657096567,9047,9047
1657097286,9046,9046
1657099084,9042,9042
1657099805,9034,9034
1657100883,7967,7967
1657101244,9034,9034
1657101965,9030,9030
1657102687,9032,9032
1657104126,9036,9036
1657104845,9034,9034
1657105564,9029,9029
1657106285,9023,9023
1657107725,9020,9020
1657108987,9025,9025
1657109885,9027,9027
1657111684,9013,9013
1657113127,9009,9009
1657113845,9008,9008
1657114925,9006,9006
1657115643,9008,9008
1657116742,9007,9007
1657117445,9009,9009
1657117807,9000,9000
1657119245,8997,8997
1657121044,8993,8993
1657121766,8992,8992
1657122127,8994,8994
1657122844,8995,8995
1657123925,8988,8988
1657124284,8991,8991
1657126085,8842,8842
1657126446,8841,8841
1657127165,8837,8837
1657128606,8839,8839
1657130765,8830,8830
1657132206,8831,8831
1657132924,8841,8841
1657134726,8852,8852
1657135446,8853,8853
1657136166,8850,8850
1657136885,8850,8850
1657137964,8851,8851
1657138685,8854,8854
1657140485,8846,8846
1657142285,8852,8852
1657142646,8854,8854
1657143366,8861,8861
1657145164,7967,7967
1657145884,8869,8869
1657146606,8868,8868
1657147324,8864,8864
1657148046,8864,8864
1657148764,8858,8858
1657149845,8857,8857
1657150566,8855,8855
1657151285,8856,8856
1657152364,8855,8855
1657153806,8846,8846
1657154944,8849,8849
1657157045,8851,8851
1657157764,8851,8851
1657158965,8853,8853
1657159924,8851,8851
1657161725,8845,8845
1657163884,8840,8840
1657164967,8833,8833
1657165686,8831,8831
1657167125,8831,8831
1657167845,8832,8832
1657168566,8827,8827
1657168926,8825,8825
1657170364,8821,8821
1657170725,8824,8824
1657171865,8822,8822
1657172525,8823,8823
1657173246,8824,8824
1657173964,8833,8833
1657175087,8848,8848
1657175765,8851,8851
1657177564,8842,8842
1657178646,8842,8842
1657179364,8841,8841
1657179725,8843,8843
1657180926,8844,8844
1657181884,8845,8845
1657182245,8850,8850
1657184104,8851,8851
1657184765,8853,8853
1657185125,8854,8854
1657185843,8855,8855
1657186564,8855,8855
1657187645,8856,8856
1657188367,8859,8859
1657189086,8860,8860
1657189445,7967,7967
1657190165,8862,8862
1657190885,8864,8864
1657192684,8866,8866
1657193765,8861,8861
1657194846,8872,8872
1657195564,8881,8881
1657196285,8889,8889
1657196645,8890,8890
1657197724,8872,8872
1657198084,8874,8874
1657198808,8877,8877
1657199251,8878,8878
1657200244,8885,8885
1657200966,8882,8882
1657201325,8880,8880
1657202409,8884,8884
1657203125,8907,8907
1657203845,8912,8912
1657204925,8908,8908
1657205285,8909,8909
1657206414,8905,8905
1657208164,8907,8907
1657208885,8913,8913
1657210324,8919,8919
1657211044,8938,8938
1657211765,8932,8932
1657212485,8930,8930
1657212845,8933,8933
1657213564,8930,8930
1657215006,8933,8933
1657216446,8935,8935
1657218244,8933,8933
1657219324,8917,8917
1657220510,8916,8916
1657221484,8918,8918
1657222206,8917,8917
1657223645,8916,8916
1657224364,8912,8912
1657225806,8912,8912
1657226526,8919,8919
1657227725,8921,8921
1657229045,8926,8926
1657229766,8930,8930
1657230486,8932,8932
1657231565,8941,8941
1657233364,8940,8940
1657234086,8938,8938
1657235584,8938,8938
1657236725,8932,8932
1657237684,8930,8930
1657238408,8925,8925
1657239124,8926,8926
1657240925,8927,8927
1657241644,8929,8929
1657242365,8928,8928
1657243085,8929,8929
1657243807,8923,8923
1657244525,8927,8927
1657245244,8929,8929
1657245966,8781,8781
1657247764,8780,8780
1657248125,8784,8784
1657248844,8786,8786
1657249564,8783,8783
1657250284,8787,8787
1657251005,8784,8784
1657251725,8787,8787
1657252444,8786,8786
1657253166,8783,8783
1657253886,8785,8785
1657254245,8784,8784
1657254966,8777,8777
1657255687,8780,8780
1657256765,8784,8784
1657258565,8810,8810
1657259284,8815,8815
1657259645,8816,8816
1657260365,8814,8814
1657260726,8818,8818
1657261444,8820,8820
1657262525,8817,8817
1657264324,8816,8816
1657264684,8820,8820
1657266125,8818,8818
1657266845,8821,8821
1657267565,8819,8819
1657269364,8823,8823
1657269725,8822,8822
1657271525,8828,8828
1657271885,8830,8830
1657272605,8824,8824
1657273325,8823,8823
1657273685,8825,8825
1657275126,8832,8832
1657275845,8837,8837
1657277645,8848,8848
1657278726,8847,8847
1657279805,8850,8850
1657280524,8852,8852
1657282326,8857,8857
1657283408,8860,8860
1657284546,8863,8863
1657285652,8861,8861
1657286646,8870,8870
1657287006,8867,8867
1657288444,8874,8874
1657289886,8884,8884
1657290606,8886,8886
1657291326,8892,8892
1657291686,8894,8894
1657292824,8904,8904
1657293485,8910,8910
1657293844,8911,8911
1657294564,8909,8909
1657294924,8910,8910
1657296726,8918,8918
1657297445,8924,8924
1657298166,8925,8925
1657298885,8924,8924
1657300684,8927,8927
1657301407,8920,8920
1657302124,8919,8919
1657302845,8924,8924
1657304644,8909,8909
1657305006,8905,8905
1657305726,8904,8904
1657306444,8909,8909
1657307525,8905,8905
1657308664,8899,8899
1657310407,8907,8907
1657311486,8913,8913
1657311844,8915,8915
1657312565,8907,8907
1657314365,8888,8888
1657315807,8892,8892
1657316886,8896,8896
1657317245,8898,8898
1657318325,8897,8897
1657319406,8901,8901
1657321566,8900,8900
1657322285,8904,8904
1657322646,8913,8913
1657323725,8916,8916
1657324445,8922,8922
1657325164,8909,8909
1657325525,8911,8911
1657326665,8911,8911
1657327684,8908,8908
1657329126,8907,8907
1657330265,8907,8907
