DateTime,AddedIPs,RemovedIPs
1656696607,0,1
1656697326,1,1
1656699126,1,1
1656700566,0,6
1656703806,1,3
1656707408,0,1
1656708486,3,1
1656710285,0,1
1656711006,0,2
1656712809,0,2
1656713527,1,0
1656714607,0,2
1656715685,9,1
1656716767,0,1
1656719286,0,2
1656719645,0,1
1656721446,0,3
1656723246,0,1
1656724686,1,0
1656726845,2,2
1656727565,1,3
1656729008,0,3
1656730086,3,0
1656732246,4,1
1656732607,0,1
1656734047,3,0
1656737286,1,0
1656738367,1,0
1656740165,4,1
1656741276,3,0
1656742326,2,0
1656742686,2,0
1656743406,2,2
1656745566,2,0
1656747366,1,0
1656748086,2,0
1656749887,1,0
1656752766,1,0
1656753126,1,0
1656753845,1,0
1656756367,0,1
1656761046,1,0
1656761408,2,0
1656765365,0,1
1656766085,1,0
1656768246,1,0
1656770166,2,0
1656771125,1,3
1656773286,0,4
1656776526,0,2
1656778686,0,4
1656781566,0,3
1656783009,1,0
1656785165,0,3
1656787386,1,3
1656788526,2,0
1656789846,2,0
1656791646,2,2
1656793447,5,0
1656795610,5,0
1656796745,5,0
1656799566,1,0
1656800646,1,0
1656801845,2,1
1656803525,0,1
1656804966,0,3
1656805688,1,0
1656807846,2,1
1656809285,2,0
1656811087,1,1
1656812887,1,0
1656816846,1,0
1656819008,0,3
1656819726,1,2
1656822245,0,1
1656827646,4,0
1656829445,1,1
1656830165,0,1
1656831246,1,0
1656834485,0,3
1656836285,0,2
1656838446,0,1
1656840245,1,0
1656841326,1,0
1656843485,2,0
1656844206,0,1
1656845285,0,1
1656845645,1,0
1656846366,1,0
1656847808,0,2
1656848526,4,0
1656850685,1,0
1656851407,5,0
1656853566,1,0
1656855007,1,1
1656859326,2,0
1656860766,2,0
1656861487,1,1
1656862565,1,1
1656863287,1,0
1656864011,2,0
1656864726,2,0
1656865086,2,0
1656866887,5,1
1656868686,3,1
1656869408,0,1
1656869766,1,0
1656870486,0,1
1656871565,1,0
1656872286,0,1
1656873008,0,1
1656873367,1,0
1656875165,5,0
1656876606,5,0
1656877686,3,1
1656878826,0,3
1656881645,1,0
1656884166,0,1
1656885245,1,1
1656886328,1,8
1656886687,2,0
1656887825,1,0
1656889927,4,0
1656891007,2,0
1656894247,1,0
1656894966,0,1
1656895686,0,1
1656897125,0,1
1656900365,0,2
1656901087,1,2
1656902225,0,4
1656905406,0,2
1656907985,0,1
1656909008,2,3
1656909726,1,1
1656911886,1,3
1656912606,0,4
1656913326,0,1
1656914046,1,0
1656915486,2,2
1656916927,0,1
1656918725,1,2
1656919866,0,1
1656921247,0,1
1656924127,0,3
1656926645,1,0
1656931328,0,3
1656932045,1,0
1656933125,0,1
1656936426,0,1
1656937447,2,0
1656938168,0,1
1656940685,1,2
1656941766,0,1
1656946490,1,1
1656947525,2,0
1656948246,1,0
1656948967,1,0
1656951125,3,0
1656952207,1,1
1656952927,1,0
1656955086,2,0
1656957247,0,1
1656957967,0,1
1656960126,0,2
1656962286,3,2
1656963726,1,4
1656964446,1,0
1656965167,0,4
1656966608,0,5
1656970566,1,2
1656972734,1,1
1656974166,1,0
1656976386,0,2
1656978126,1,2
1656979926,4,1
1656981366,0,1
1656983166,0,1
1656984305,1,0
1656990367,0,2
1656991807,0,1
1656996485,1,2
1656997926,1,4
1657000085,1,0
1657001526,0,1
1657023845,4,6
1657024926,3,0
1657025646,1,0
1657026805,2,0
1657027806,2,2
1657028885,2,0
1657030685,1,0
1657031407,0,4
1657033208,2,1
1657035365,0,15
1657036086,0,1
1657037886,2,2
1657039685,3,4
1657040765,1,1
1657042567,1,2
1657044366,1,3
1657045446,1,0
1657046526,4,6
1657046886,1,0
1657047965,3,0
1657048687,3,0
1657051566,4,0
1657052285,2,0
1657052645,1,0
1657054446,1,2
1657055166,1,1
1657055885,1,0
1657057326,2,4
1657059486,2,0
1657060625,2,5
1657062365,3,0
1657063807,1,1
1657064527,1,0
1657064887,1,0
1657068127,6,0
1657071362,0,1
1657074666,1,0
1657075327,1,0
1657078206,0,1
1657078927,0,1
1657081807,1,1
1657084326,0,1
1657085406,0,1
1657086486,0,1
1657087565,2,1
1657094765,0,1
1657095847,0,1
1657096568,1,0
1657099085,6,0
1657100883,7,0
1657102687,1,0
1657106286,1,0
1657107725,0,1
1657109004,0,2
1657109886,5,1
1657111685,0,1
1657113129,0,1
1657113846,1,0
1657114926,0,1
1657116744,1,1
1657117808,0,2
1657119246,0,1
1657121045,1,2
1657121767,0,2
1657122128,0,1
1657123926,1,0
1657126086,0,2
1657130766,1,0
1657132207,2,4
1657132925,1,0
1657134727,3,1
1657135447,1,1
1657136885,2,0
1657137965,3,0
1657138686,1,0
1657140486,3,0
1657142286,1,0
1657145164,1,1
1657146607,2,1
1657147325,1,0
1657148765,0,3
1657149845,1,0
1657150567,3,3
1657152365,4,0
1657153807,1,1
1657154945,3,0
1657157407,3,0
1657158965,1,0
1657161066,5,0
1657162087,2,0
1657164968,3,1
1657167126,0,1
1657168927,0,1
1657175088,0,1
1657175766,0,4
1657178647,1,1
1657179727,1,0
1657180927,1,1
1657181885,1,0
1657182966,16,0
1657192685,0,1
1657194847,1,0
1657195565,3,5
1657197726,0,3
1657198809,0,1
1657200967,0,1
1657202410,2,1
1657206516,2,0
1657208165,2,3
1657210325,1,1
1657211045,2,0
1657211766,1,2
1657212486,0,1
1657215006,0,3
1657216447,6,0
1657218245,0,2
1657219325,0,7
1657220512,1,1
1657221484,2,0
1657222207,0,4
1657223645,4,1
1657224365,0,2
1657225807,1,1
1657226527,0,2
1657227726,0,1
1657229046,1,0
1657230487,1,3
1657231566,1,3
1657233365,1,2
1657234087,0,1
1657235585,0,1
1657238409,1,7
1657242366,0,1
1657243807,0,1
1657245245,1,0
1657245967,1,2
1657248845,1,1
1657251726,1,0
1657256765,1,0
1657258566,2,1
1657260366,0,1
1657264325,1,0
1657264685,0,1
1657266125,0,2
1657267566,0,1
1657269365,0,1
1657271526,1,0
1657272606,0,1
1657275127,1,1
1657277646,1,1
1657279806,0,4
1657280525,1,0
1657282326,0,1
1657283408,1,0
1657284547,0,1
1657285653,0,1
1657287007,3,0
1657288445,1,1
1657290607,0,1
1657291327,0,1
1657292825,0,1
1657293845,1,0
1657294565,0,12
1657298167,1,0
1657298886,2,0
1657300685,4,1
1657301408,2,1
1657302125,1,1
1657302846,1,0
1657304646,1,2
1657305007,1,1
1657305727,1,0
1657306445,1,0
1657307526,2,1
1657308665,3,6
1657310408,8,0
1657311487,3,0
1657311845,4,0
1657312566,1,0
1657314365,4,1
1657315808,0,1
1657316887,2,1
1657318327,2,0
1657319406,3,4
1657321567,2,1
1657323726,3,3
1657325165,2,0
1657325526,1,0
1657326666,1,4
1657326967,1,0
1657327685,3,0
1657329126,1,2
1657330266,1,4
1657332367,0,1
1657335246,0,1
1657338486,2,0
1657339566,1,0
1657346047,1,0
1657347126,1,0
1657348567,0,1
1657350726,0,2
1657351865,2,1
1657352885,2,0
1657359006,2,0
1657361885,1,0
1657363325,1,0
1657364767,0,1
1657365486,14,0
1657366207,1,0
1657368009,2,1
1657371966,4,2
1657375925,2,1
1657376646,1,0
1657377725,2,1
1657380967,0,26
1657382045,1,0
1657383126,2,1
1657384927,0,2
1657386725,3,2
1657389368,13,0
1657389966,9,1
1657391765,1,1
1657392126,0,1
1657392846,1,0
1657393566,0,2
1657393926,2,0
1657395726,0,1
1657398965,0,1
1657400525,2,1
1657401485,1,0
1657403286,0,1
1657407245,1,0
1657407966,0,1
1657412646,1,0
1657415167,0,1
1657416967,1,1
1657418166,1,0
1657418765,0,1
1657421286,1,3
1657422366,2,0
1657425246,0,1
1657425965,1,1
1657427466,0,4
1657428486,1,0
1657429209,1,0
1657431727,2,0
1657432446,1,0
1657433166,2,0
1657436046,2,0
1657436766,1,0
1657437485,1,0
1657438925,0,1
1657440366,0,1
1657443965,1,2
1657445106,2,0
1657446127,2,1
1657447625,1,1
1657448286,0,1
1657450085,1,1
1657451527,1,0
1657452246,1,0
1657453685,0,1
1657455126,1,0
1657456926,0,2
1657459445,0,1
1657459808,0,1
1657463047,1,0
1657463767,0,1
1657467785,2,2
1657469886,1,3
1657470608,1,2
1657472045,0,1
1657473126,1,1
1657474206,0,1
1657474927,3,1
1657475645,1,0
1657476804,1,1
1657477808,2,2
1657478527,1,5
1657479247,1,0
1657479967,1,3
1657480686,1,0
1657481046,2,0
1657481765,0,4
1657483566,1,3
1657484286,1,0
1657485365,12,2
1657488245,2,0
1657489686,2,4
1657491488,13,1
1657492565,4,0
1657493288,4,1
1657494366,1,0
1657495086,1,0
1657496526,0,4
1657497246,1,0
1657497965,3,4
1657498685,1,0
1657499406,0,1
1657500486,0,1
1657500846,3,0
1657503365,0,1
1657504506,2,0
1657505886,8,0
1657506607,1,0
1657510565,1,2
1657514526,1,0
1657517406,1,2
1657518545,2,0
1657519567,2,0
1657521368,0,2
1657523166,0,2
1657528206,0,1
1657532527,1,1
1657534686,1,0
