DateTime,AddedIPs,RemovedIPs
1657068844,13,4
1657069565,7,19
1657070283,6,1
1657071362,0,2499
1657072084,2500,0
1657073165,11,7
1657073526,5,0
1657074664,18,64
1657075326,14,8
1657077483,37,12
1657078205,14,13
1657078925,14,9
1657079646,11,0
1657080725,17,20
1657081806,21,8
1657082885,12,0
1657084325,13,10
1657085405,10,13
1657086485,10,1
1657087564,12,14
1657088285,9,0
1657089726,8,17
1657090444,9,1
1657091166,4,16
1657092243,8,0
1657092965,12,30
1657094764,12,16
1657095846,11,0
1657096567,10,12
1657097286,25,5
1657099083,26,16
1657099804,6,16
1657100883,0,2551
1657101244,2567,0
1657101964,8,13
1657102686,13,0
1657104126,22,15
1657104844,10,1
1657106284,25,10
1657106645,3,0
1657107724,8,28
1657108972,11,10
1657109885,11,0
1657111684,12,17
1657113127,17,11
1657113845,14,0
1657114925,14,31
1657115643,0,2599
1657116741,2611,0
1657117445,4,0
1657117807,0,15
1657119244,16,2
1657121043,17,11
1657121765,7,18
1657122127,4,2
1657122844,15,0
1657123925,11,9
1657124284,3,0
1657126084,14,27
1657126446,8,0
1657127164,7,12
1657128605,13,21
1657130764,30,23
1657132205,29,17
1657132924,15,7
1657134726,24,20
1657135445,12,0
1657136165,12,9
1657136884,14,2
1657137244,3,0
1657137964,16,11
1657138685,9,0
1657140485,23,14
1657142284,20,11
1657142646,3,0
1657143365,22,16
1657145164,0,2715
1657145884,2730,0
1657146606,13,16
1657147324,21,4
1657148045,13,0
1657148764,15,14
1657149124,4,0
1657149844,9,1
1657150566,8,10
1657151285,12,3
1657152364,15,13
1657153806,21,13
1657154944,22,4
1657157044,25,10
1657157764,17,13
1657158964,17,3
1657159924,16,15
1657161725,27,23
1657162085,6,0
1657163884,34,10
1657164966,19,16
1657165686,10,2
1657167124,23,7
1657167845,8,0
1657168566,18,6
1657168926,5,5
1657169646,8,0
1657170364,9,4
1657170724,5,1
1657171864,13,10
1657172524,5,1
1657173246,4,0
1657173964,8,3
1657175087,15,8
1657175764,7,13
1657177564,23,9
1657178645,5,0
1657179364,14,9
1657179725,3,0
1657180926,11,6
1657181884,12,1
1657182245,9,0
1657182964,6,7
1657184104,10,2
1657184764,8,2
1657185125,6,0
1657185843,6,0
1657186564,10,7
1657187284,6,2
1657187644,9,0
1657188367,8,7
1657189085,11,0
1657189445,0,3059
1657190165,3058,0
1657190884,9,1
1657191244,5,0
1657192684,17,11
1657193764,11,21
1657194845,16,11
1657195564,11,15
1657196285,12,3
1657196645,1,0
1657197724,15,17
1657198084,2,1
1657198807,6,10
1657199233,11,0
1657200244,6,0
1657200965,12,14
1657201325,5,5
1657202409,17,14
1657203125,5,0
1657203845,10,1
1657204925,15,20
1657205284,5,0
1657206398,9,11
1657208164,18,13
1657208884,7,3
1657210323,18,27
1657211044,7,4
1657211765,11,16
1657212485,7,7
1657212844,2,0
1657213563,3,12
1657215005,26,16
1657216445,12,1
1657218244,28,19
1657219324,13,19
1657220510,13,10
1657221483,17,1
1657222205,9,20
1657223644,15,1
1657224364,11,19
1657225806,15,18
1657226526,10,11
1657227724,15,18
1657229045,15,1
1657229766,10,19
1657230486,9,2
1657231565,16,14
1657233364,31,17
1657234085,14,4
1657234445,2,0
1657235584,13,15
1657236724,9,16
1657237684,12,3
1657238408,3,18
1657239124,8,0
1657240925,30,19
1657241643,8,0
1657242364,8,13
1657243085,12,0
1657243806,5,22
1657244525,10,2
1657245244,7,0
1657245966,7,19
1657247764,20,27
1657248125,6,5
1657248844,13,1
1657249564,4,10
1657250284,9,0
1657251005,11,18
1657251724,6,1
1657252444,9,0
1657253165,17,13
1657253885,11,0
1657254245,3,0
1657254965,7,13
1657255686,8,5
1657256764,4,4
1657258565,7,12
1657259284,3,4
