DateTime,AddedIPs,RemovedIPs
1657000083,31,63
1657001524,47,45
1657022764,341,723
1657023843,36,0
1657024924,35,61
1657025644,26,0
1657026757,34,50
1657027804,32,63
1657028883,36,14
1657030683,48,51
1657032125,33,101
1657032844,20,1
1657033563,23,46
1657034643,30,1
1657035363,20,59
1657036084,24,13
1657037883,66,45
1657039683,54,91
1657040763,23,52
1657041484,21,1
1657042565,22,56
1657044364,59,55
1657045444,30,4
1657046524,39,87
1657046884,12,0
1657047963,30,59
1657048684,27,1
1657049404,19,66
1657050843,39,16
1657052643,40,227
1657053843,29,88
1657054444,17,2
1657055164,16,46
1657055883,17,1
1657057323,33,70
1657059485,48,50
1657060624,37,75
1657063805,100,96
1657064884,28,13
1657065964,33,43
1657067043,30,1
1657068125,40,66
1657068843,26,0
1657069564,19,48
1657070643,30,2
1657072443,47,70
1657073163,25,48
1657073525,6,1
1657074663,39,112
1657075325,28,28
1657077483,72,52
1657078204,19,55
1657078925,16,17
1657079644,26,1
1657080724,25,63
1657081805,33,68
1657082884,29,29
1657084324,41,45
1657085404,31,69
1657086484,27,18
1657088284,46,50
1657089725,34,75
1657090444,15,1
1657091165,20,65
1657092243,25,2
1657092964,13,102
1657094763,46,66
1657095845,29,3
1657096565,17,65
1657097284,16,227
1657099083,54,43
1657099803,29,66
1657101243,30,12
1657101964,15,61
1657102685,13,4
1657104125,36,96
1657104844,24,4
1657105923,22,51
1657106644,15,1
1657107723,23,95
1657108960,37,61
1657109884,12,1
1657111683,52,95
1657113126,42,67
1657113844,27,3
1657114924,33,75
1657116738,50,52
1657117443,16,0
1657117806,10,74
1657119244,46,27
1657120323,43,59
1657121043,31,0
1657121765,29,61
1657122125,8,24
1657122843,18,1
1657123924,34,70
1657124283,10,1
1657126084,50,90
1657126445,10,0
1657127164,17,50
1657128243,19,4
1657128605,12,70
1657130763,49,75
1657132204,38,62
1657132923,19,14
1657134725,53,47
1657135445,20,2
1657136164,20,76
1657136884,18,12
1657137243,10,0
1657137963,13,69
1657138684,16,0
1657140125,37,96
1657140484,7,1
1657142283,49,54
1657142645,10,1
1657143364,17,56
1657145883,68,54
1657146605,23,57
1657147323,18,18
1657148044,14,0
1657148763,18,46
1657149843,22,0
1657150565,22,48
1657151283,31,11
1657152363,26,68
1657153805,43,50
1657154943,31,16
1657157043,58,61
1657157763,14,51
1657158964,31,19
1657159923,31,51
1657161724,43,73
1657162085,11,0
1657163883,44,45
1657164965,29,54
1657165685,24,9
1657167123,43,47
1657167844,16,0
1657168565,20,70
1657168925,6,19
1657169645,21,1
1657170363,15,45
1657170723,8,1
1657171864,36,47
1657172524,16,7
1657173245,23,0
1657173963,19,34
1657175086,18,0
1657175763,24,31
1657177563,53,30
1657178644,35,2
1657179363,24,23
1657179724,13,8
1657180924,36,25
1657181883,32,1
1657182963,23,21
1657184103,26,10
1657184764,8,24
1657185843,20,0
1657186563,7,28
1657187283,17,10
1657187644,9,2
1657188366,15,39
1657189085,18,0
1657190524,44,37
1657191243,24,1
1657192683,35,28
1657193764,39,59
1657194844,27,10
1657195563,12,55
1657197723,48,89
1657198083,12,0
1657198807,17,39
1657199217,10,0
1657200243,13,1
1657200964,14,56
1657201324,13,9
1657202408,22,44
1657203124,14,1
1657203843,29,0
1657204924,25,63
1657205283,11,0
1657206410,23,44
1657207805,30,51
1657208163,9,1
1657208883,18,0
1657210323,43,55
1657211043,27,5
1657211764,18,38
1657212484,33,12
1657212844,8,0
1657213563,21,38
1657215004,30,80
1657216445,53,0
1657218243,56,54
1657219323,38,71
1657220509,31,35
1657221483,46,2
1657222205,17,47
1657223643,31,8
1657224363,15,34
1657225805,24,48
1657226525,14,19
1657227724,30,29
1657230125,52,53
1657230485,6,1
1657231564,20,56
1657233723,53,78
1657234444,16,0
1657235583,31,32
1657236724,23,42
1657237683,16,16
1657238407,17,48
1657239123,12,1
1657240924,32,65
1657241643,14,0
1657242363,28,44
1657243084,17,2
1657243806,13,53
1657244524,19,16
1657245243,12,1
1657245965,17,48
1657247763,47,58
1657248124,12,17
1657248843,11,0
1657249563,14,30
1657250283,10,0
1657251004,13,58
1657251723,18,9
1657252443,13,0
1657253164,28,44
1657253883,20,0
1657254244,9,0
1657254964,16,48
1657255685,20,18
1657256763,28,24
1657258564,61,42
1657259283,14,10
1657259644,11,0
1657260364,22,38
1657262524,65,76
1657264323,51,31
1657264683,9,0
1657266123,39,56
1657266843,27,2
1657267564,21,36
1657269008,40,52
1657269724,17,15
1657271523,37,29
1657271884,9,0
1657272604,16,48
