DateTime,AddedIPs,RemovedIPs
1655813168,0,1
1655824030,2,0
1655830449,0,1
1655832612,1,0
1655832971,0,1
1655834769,0,2
1655837289,1,0
1655842329,1,1
1655843771,1,0
1655845569,0,1
1655846648,1,0
1655847849,1,0
1655849171,1,0
1655854572,1,0
1655857872,1,1
1655863214,0,1
1655868669,0,1
1655870049,1,0
1655872211,0,1
1655873289,1,0
1655874372,0,1
1655876889,0,1
1655877973,0,3
1655886610,0,1
1655888769,0,1
1655890210,1,1
1655895970,0,1
1655897409,0,1
1655899570,0,1
1655903940,1,0
1655905692,1,0
1655909649,1,0
1655913615,0,1
1655916130,0,1
1655917329,2,1
1655918289,1,0
1655919729,1,0
1655921529,0,1
1655925188,1,0
1655928431,0,1
1655931968,0,1
1655939890,1,0
1655942051,1,2
1655944927,0,1
1655950687,0,1
1655954286,0,1
1655955365,0,2
1655958367,2,0
1655959326,0,2
1655963645,0,3
1655964010,1,1
1655966526,0,2
1655967246,1,0
1655968326,1,1
1655969766,0,1
1655970848,1,0
1655973008,0,3
1655975226,0,1
1655979157,205,2
1655980207,83,0
1655980926,17,0
1655981646,8,0
1655982366,14,1
1655983088,12,0
1655983446,6,0
1655984166,6,0
1655985245,16,0
1655987045,12,1
1655988847,9,0
1655991006,7,1
1655991370,4,0
1655992446,11,0
1655993887,5,0
1655994967,6,1
1655996047,5,0
1655997846,5,1
1655998566,3,0
1656001088,11,0
1656001447,1,0
1656003246,8,1
1656004327,3,0
1656006128,0,1
1656021966,0,1
1656034567,4,0
1656035286,1,0
1656036726,2,0
1656039247,2,0
1656039966,1,1
1656040686,3,0
1656044646,2,0
1656048246,2,0
1656053884,5,0
1656055470,4,0
1656058154,1,0
1656059407,1,0
1656062040,3,0
1656064086,1,0
1656070567,0,1
1656073807,1,0
1656075246,3,0
1656075967,2,0
1656077046,1,0
1656079926,1,0
1656083886,1,0
1656088207,2,0
1656093966,2,0
1656096846,1,0
1656102247,0,1
1656104766,1,0
1656106207,0,1
1656108726,1,0
1656112326,1,0
1656118926,1,0
1656120966,1,0
1656124567,1,0
1656127807,0,1
1656129969,1,0
1656132846,1,0
1656143646,0,1
1656145446,1,0
1656150127,0,30
1656151627,0,10
1656154086,0,6
1656155166,0,18
1656156966,0,17
1656159486,1,5
1656160207,0,6
1656160926,0,7
1656163085,0,19
1656164886,0,29
1656166686,0,10
1656167408,0,23
1656168846,0,5
1656169985,0,15
1656171367,0,50
1656171727,0,13
1656173526,0,69
1656175026,1,76
1656178207,1,1
1656180366,1,2
1656182528,0,1
1656187566,0,2
1656193693,0,1
1656198366,0,2
1656202328,1,0
1656204128,0,1
1656212767,0,1
1656224286,0,1
1656225367,0,1
1656226087,0,1
1656227887,0,4
1656230046,0,2
1656231188,0,8
1656232567,0,6
1656234365,0,4
1656238328,0,1
1656240248,1,1
1656242287,1,0
1656246607,0,1
1656250927,0,2
1656252725,1,2
1656253808,0,1
1656257768,2,1
1656259926,0,1
1656261726,0,1
1656263168,2,1
1656265327,0,1
1656270726,0,1
1656272167,1,0
1656276127,1,1
1656281886,0,11
1656282967,0,1
1656283327,0,1
1656284526,0,3
1656286928,0,2
1656288366,0,3
1656291247,0,3
1656291967,0,2
1656294246,0,2
1656295210,0,5
1656297008,0,1
1656298088,0,2
1656298810,0,3
1656301328,0,1
1656303847,0,1
1656306726,2,1
1656313566,1,0
1656320046,1,0
1656322265,0,1
1656326527,0,1
1656329766,0,2
1656330487,1,0
1656334986,1,0
1656344166,2,1
1656346386,1,0
1656349567,1,0
1656357487,0,1
1656359647,1,1
1656360728,1,0
1656361446,5,0
1656362166,2,1
1656362888,5,0
1656365768,0,1
1656372967,0,2
1656373688,0,1
1656375127,0,1
1656380167,1,1
1656383408,0,1
1656389888,1,0
1656393488,8,0
1656396727,1,0
1656398167,0,1
1656399966,0,1
1656408608,1,0
1656412566,0,1
1656412926,0,1
1656415447,1,0
1656416167,1,1
1656419766,1,0
1656420486,0,1
1656426247,2,1
1656432366,0,3
1656436686,1,0
1656437407,0,1
1656447186,0,1
1656451808,1,0
1656455407,0,2
1656457566,0,1
1656464410,0,1
1656467646,0,1
1656469807,1,2
1656470887,0,2
1656474487,0,1
1656475211,0,1
1656476287,1,0
1656477366,0,1
1656479527,1,0
1656481688,1,0
1656484927,0,1
1656490327,0,1
1656503646,1,0
1656507966,1,0
1656513007,0,1
1656514447,0,1
1656516991,0,2
1656518045,0,1
1656519486,0,6
1656522368,1,0
1656528127,2,0
1656528846,1,0
1656529567,0,1
1656533887,1,0
1656535688,0,2
1656536046,1,0
1656547626,0,1
1656552608,1,0
1656555486,0,1
1656558727,0,1
1656560887,0,1
1656562687,0,1
1656569525,1,1
1656570637,0,1
1656572766,0,1
1656574566,0,3
1656576367,0,1
1656577807,1,1
1656586085,0,1
1656587886,1,0
1656592569,0,2
1656599767,1,1
1656601210,0,1
1656607327,0,1
1656608526,0,2
1656613807,0,1
1656615968,1,1
1656617825,0,4
1656622086,1,1
1656624967,1,0
1656628207,1,0
1656631088,0,1
1656631808,0,1
1656636486,1,0
1656638646,0,1
1656643027,0,3
1656646567,0,1
1656650167,0,2
1656656285,1,0
1656660967,0,1
1656669727,0,1
1656671408,0,1
1656672127,0,1
1656675008,0,3
1656676446,1,1
1656677166,0,1
1656684366,1,0
1656686167,0,1
1656691626,1,0
1656693367,0,1
1656695167,1,0
1656696608,1,1
1656703807,0,4
1656704887,1,1
1656708487,1,0
1656711007,0,1
1656714607,0,1
1656723965,0,1
1656726846,0,5
1656727566,0,2
1656729009,0,1
1656730087,0,3
1656736566,0,1
1656742327,1,0
1656744488,1,0
1656745567,0,2
1656747367,0,1
1656750966,0,1
1656752767,1,1
1656756367,1,0
1656757086,1,0
1656757808,0,1
1656768966,1,0
1656770166,1,0
1656778687,1,0
1656783009,0,1
1656785166,1,0
1656789847,1,0
1656791647,0,3
1656793447,3,0
1656795611,0,1
1656796746,1,0
1656801846,0,1
1656803526,2,0
1656804967,0,1
1656805688,0,1
1656807846,0,1
1656811088,0,1
1656812166,0,1
1656815046,1,0
1656815767,0,1
1656817567,1,0
1656825128,0,1
1656826566,1,1
1656830166,0,2
1656830527,1,0
1656836286,0,1
1656840245,0,1
1656841327,0,2
1656847809,0,1
1656850685,0,1
1656851407,0,1
1656853567,0,1
1656864011,1,0
1656865087,1,0
1656866887,0,1
1656868687,1,0
1656871566,0,2
1656873009,1,0
1656875166,1,0
1656879486,1,0
1656881646,1,0
1656884167,0,1
1656887826,1,0
1656901088,1,0
1656902226,0,1
1656911886,1,0
1656924487,0,1
1656927368,16,1
1656936427,1,1
1656938169,0,1
1656940686,0,2
1656946491,0,1
1656952927,1,0
1656954427,2,0
1656962287,0,2
1656974888,1,0
1656985327,0,1
1657023846,0,4
1657026807,1,0
1657030686,0,1
1657035366,0,1
1657039686,0,3
1657045447,1,0
1657046887,1,0
1657051567,0,3
1657054447,0,1
1657060626,0,1
1657068127,1,1
1657071363,0,1
1657073167,1,0
1657074667,2,0
1657081808,0,1
1657082887,1,1
1657089728,0,1
1657091887,1,0
1657094766,0,1
1657096569,0,1
1657097288,0,16
1657099806,1,1
1657104128,0,2
1657115645,1,0
1657117809,1,0
1657121045,0,2
1657126087,1,1
1657127166,0,1
1657142287,1,1
1657146608,0,1
1657150567,0,1
1657152366,0,1
1657153808,0,1
1657156689,0,1
1657170366,0,2
1657172527,1,0
1657175089,1,0
1657179366,1,0
1657192685,1,0
1657197726,0,1
1657201327,0,1
1657202411,0,1
1657208886,1,0
1657211767,1,0
1657215007,0,1
1657218245,2,0
1657219326,1,1
1657220513,0,1
1657222207,0,1
1657233366,1,0
1657236726,1,0
1657240927,0,1
1657243808,0,1
1657244527,1,0
1657245968,0,1
1657258567,0,1
1657260727,1,0
1657266126,0,1
1657269366,0,1
1657275128,1,1
1657278727,0,1
1657282328,1,0
1657301408,0,1
1657305008,0,1
1657305727,0,1
1657311488,1,0
1657316888,0,1
1657319407,0,1
1657323727,0,1
1657325166,0,1
1657326667,0,1
1657330267,0,1
1657343527,0,1
1657346766,1,0
1657351866,1,1
1657353967,0,1
1657355410,0,1
1657356487,0,2
1657364768,0,1
1657368010,1,0
1657371967,0,1
1657377726,0,1
1657382046,1,0
1657386726,5,0
1657387086,2,0
1657388167,2,1
1657391765,1,1
1657395727,0,3
1657398966,0,1
1657404427,0,1
1657407967,0,1
1657409767,0,1
1657411926,1,0
1657413366,0,2
1657416967,1,2
1657418766,0,1
1657421286,0,1
1657422367,0,1
1657425247,1,1
1657427467,0,3
1657428487,1,0
1657429210,0,1
1657431728,0,3
1657433167,0,1
1657436047,0,6
1657436766,0,4
1657438208,0,4
1657438926,0,1
1657440366,0,2
1657441807,0,3
1657443966,0,2
1657446128,0,5
1657447626,0,2
1657449368,0,2
1657451528,1,1
1657453686,0,1
1657455126,0,1
1657456208,0,2
1657477808,0,1
1657496527,1,0
1657500487,0,1
1657502285,0,1
1657503366,0,1
1657521368,1,0
