DateTime,Entries,UniqueIPs
1620904810,12914,12914
1620984013,12908,12908
1620996739,12908,12908
1621075927,12927,12927
1621089370,12927,12927
1621168352,12962,12962
1621181553,12962,12962
1621259529,12972,12972
1621272727,12972,12972
1621350967,12995,12995
1621363712,12995,12995
1621455155,13062,13062
1621547054,13036,13036
1621640414,12986,12986
1621734036,12967,12967
1621826173,12955,12955
1621917852,12972,12972
1622010013,13001,13001
1622102414,12953,12953
1622196046,12912,12912
1622288176,12896,12896
1622381099,12861,12861
1622473936,12889,12889
1622565876,12850,12850
1622658734,12839,12839
1622750932,12835,12835
1622844989,12631,12631
1622938572,12618,12618
1623033151,12568,12568
1623128431,12532,12532
1623221792,12309,12309
1623315654,12286,12286
1623409961,12289,12289
1623502355,12291,12291
1623595961,12266,12266
1623688333,12257,12257
1623780020,12265,12265
1623872414,12244,12244
1623964826,12184,12184
1624057947,12140,12140
1624150823,12088,12088
1624242509,12143,12143
1624334678,12222,12222
1624426105,12208,12208
1624518731,12186,12186
1624610887,12137,12137
1624702585,12183,12183
1624794254,12167,12167
1624886413,12126,12126
1624977852,12165,12165
1625069300,12199,12199
1625161212,12201,12201
1625252191,12193,12193
1625311450,12620,12620
1625403621,12616,12616
1625495768,12614,12614
1625587461,12688,12688
1625679619,12752,12752
1625772489,12760,12760
1625864417,12706,12706
1625956087,12722,12722
1626047766,12708,12708
1626139213,12666,12666
1626230429,12744,12744
1626322358,12723,12723
1626413305,12724,12724
1626414029,12712,12712
1626506411,12699,12699
1626598092,12732,12732
1626690028,12776,12776
1626782172,12818,12818
1626874330,12754,12754
1626966278,12754,12754
1626967451,12750,12750
1627057927,12803,12803
1627059149,12802,12802
1627150336,12846,12846
1627151530,12842,12842
1627242489,12876,12876
1627243474,12860,12860
1627334906,12860,12860
1627335379,12868,12868
1627426839,12901,12901
1627518734,12966,12966
1627609711,12932,12932
1627701854,12893,12893
1627794751,12931,12931
1627887131,12953,12953
1627977874,12995,12995
1628069055,13012,13012
1628160726,13044,13044
1628252662,13013,13013
1628344568,12980,12980
1628436017,12967,12967
1628527932,12984,12984
1628619612,13005,13005
1628712277,13001,13001
1628803695,13011,13011
1628895146,13012,13012
1628895880,12940,12940
1628987543,12940,12940
1628988015,12951,12951
1629079463,12953,12953
1629170902,12926,12926
1629204743,12916,12916
1629208105,13302,13302
1629211454,13702,13702
1629214570,14089,14089
