DateTime,AddedIPs,RemovedIPs
1616662343,197,0
1616665224,192,0
1616667626,211,0
1616669065,210,0
1616671222,173,0
1616673387,193,0
1616675544,191,0
1616677705,201,397
1616679384,198,0
1616681542,186,0
1616683706,207,0
1616775609,184,406
1618055288,164,5782
1618329367,630,617
1618420810,212,196
1618512010,186,209
1618603224,191,217
1618695128,215,205
1618787549,187,180
1618879210,206,205
1618971148,198,213
1619062327,198,200
1619154043,167,193
1619245210,205,149
1619336651,205,2498
1619428114,216,221
1619519527,217,0
1619611236,198,0
1619703386,212,0
1619794859,208,0
1619886024,175,0
1619977949,188,0
1620069391,208,0
1620160085,192,0
1620252255,186,0
1620343213,189,0
1620435149,196,0
1620527048,191,0
1620618733,191,0
1620710165,193,174
1620802089,184,200
1620893292,190,185
1620984013,189,195
1621075927,198,196
1621168352,179,180
1621259529,199,194
1621350967,201,220
1621455155,231,169
1621547054,175,202
1621640414,188,199
1621734036,207,196
1621826173,191,174
1621917852,180,181
1622010013,213,185
1622102414,204,204
1622196046,203,200
1622288176,211,198
1622381099,209,207
1622473936,212,187
1622565876,203,193
1622658734,208,186
1622750932,205,201
1622844989,201,392
1622938572,217,183
1623033151,206,201
1623128431,206,195
1623221792,223,194
1623315654,212,208
1623409961,200,192
1623502355,197,195
1623595961,201,192
1623688333,210,199
1623780020,188,180
1623872414,218,202
1623964826,199,201
1624057947,188,232
1624150823,211,187
1624242509,211,198
1624334678,213,211
1624426105,204,199
1624518731,209,191
1624610887,201,214
1624702585,204,212
1624794254,213,207
1624886413,235,213
1624977852,215,213
1625069300,231,205
1625161212,217,214
1625252191,202,208
1625311450,219,0
1625403621,219,204
1625495768,215,204
1625587461,224,200
1625679619,215,207
1625772489,209,215
1625864417,214,225
1625956087,191,201
1626047766,210,189
1626139213,210,201
1626230429,249,204
1626322358,186,201
1626414029,188,188
1626506411,215,234
1626598092,207,202
1626690028,214,206
1626782172,207,218
1626874330,202,211
1626967451,207,211
1627059149,203,206
1627151530,197,207
1627243474,186,204
1627335379,226,217
1627426839,215,205
1627518734,205,241
1627609711,194,222
1627701854,205,236
1627794751,207,213
1627887131,196,209
1627977874,217,205
1628069055,212,192
1628160726,206,221
1628252662,200,210
1628344568,221,217
1628436017,207,212
1628527932,233,205
1628619612,200,175
1628712277,202,212
1628803695,185,207
1628895880,175,249
1628988015,179,180
1629079463,193,198
1629170902,168,206
1629204743,184,208
1629208105,167,0
1629211454,185,0
1629214570,179,0
1629217948,200,0
1629220570,186,0
1629223458,205,0
1629226570,159,0
1629229466,150,0
1629232587,196,0
1629236187,132,0
1629239065,186,0
1629242409,131,0
1629245546,176,0
1629247448,183,0
1629249130,144,0
1629252501,149,0
1629255631,155,0
1629258967,138,0
1629350435,176,186
1629443531,200,192
1629536186,168,199
1629628089,168,197
1629719528,174,181
1629811467,248,184
1629903137,196,186
1629929543,189,205
1629988572,202,0
1630002267,188,0
1630015943,172,0
1630050252,250,206
1630051931,250,0
1630055785,250,0
1630073531,247,0
1630077631,1,0
1630095133,195,0
1630097297,172,0
1630111462,185,202
1630120342,175,0
1630129214,189,0
1630146975,248,0
1630153944,182,0
1630164990,165,0
1630178666,165,0
1630212748,184,182
1630218507,175,0
1630246570,189,0
1630296488,170,195
1630318333,171,0
1630340649,147,0
1630399712,165,198
1630401864,152,0
1630409788,127,0
1630489708,174,183
1630548736,155,0
1630590250,138,200
1630682655,171,192
1630774338,155,194
1630866251,165,183
1630957455,164,204
1631049372,143,191
1631140586,175,213
1631232730,151,152
1631323928,114,174
1631415619,185,140
1631508503,173,138
1631600650,188,169
1631692094,165,171
1631784010,191,135
1631875456,208,3037
1631967851,196,183
1632060507,178,196
1632152187,187,171
1632243386,216,174
1632335778,219,182
1632415448,195,248
1632507372,173,194
1632600518,185,555
1632692668,156,1537
1632772571,200,1309
1632776184,187,0
1632782665,158,0
1632789272,145,0
1632880814,208,592
1632973475,200,539
1633065631,156,504
1633158260,167,383
1633249718,192,158
1633341131,181,171
1633433286,201,177
1633525215,193,198
1633617398,192,196
1633708808,188,172
1633800976,189,185
1633892894,181,182
1633985052,162,167
1634077458,156,210
1634170118,165,193
1634262281,160,216
1634355874,202,177
1634447329,183,204
1634539957,200,215
1634631608,167,202
1634723555,181,190
1634814727,174,176
1634906191,187,219
1634998331,166,218
1635090039,201,185
1635182168,178,183
1635241964,1,168
1635269552,189,0
1635361949,203,158
1635454340,179,694
1635546969,159,204
1635638442,188,213
1635732008,159,163
1635823932,139,160
1635915272,178,193
1636007528,165,187
1636099955,171,201
1636193773,165,197
1636285449,175,182
1636378333,207,188
1636470974,183,197
1636563656,225,184
1636632259,202,178
1636724647,203,175
1636817535,191,168
1636910448,185,160
1637001848,177,202
1637093770,187,163
1637153054,191,203
1637244996,185,178
1637335461,172,192
1637427101,184,171
1637518596,169,184
1637610250,188,172
1637701951,175,219
