DateTime,AddedIPs,RemovedIPs
1627940163,3,0
1628027524,1,0
1628071444,4,0
1628115124,5,0
1628158803,3,0
1628246164,1,0
1628377213,2,0
1628464563,2,0
1628551923,2,0
1628595604,1,0
1628639283,2,0
1628682963,1,0
1628727123,3,0
1628771043,2,0
1628814724,2,0
1628858404,2,0
1628902083,1,0
1628945763,1,0
1628989444,1,0
1629164164,1,0
1629208083,4,0
1629251763,1,0
1629295444,2,0
1629339124,1,0
1629426725,1,0
1629470403,1,0
1629601444,1,0
1629645123,2,0
1629688804,1,0
1629732483,2,0
1629776164,1,0
1629819843,3,0
1629863523,1,0
1629907208,1,0
1629951124,3,0
1629994804,2,0
1630038724,2,0
1630126324,1,0
1630345204,3,0
1630388883,1,0
1630432564,3,0
1630476243,2,0
1630519924,2,0
1630563844,2,0
1630607525,1,0
1630694884,2,0
1630782245,1,0
1630825923,2,0
1630913284,1,0
1630956963,3,0
1631131924,1,0
1631175604,1,0
1631219283,2,0
1631262963,1,0
1631306644,1,0
1631350324,1,0
1631394003,1,0
1631481364,1,0
1631525044,1,0
1631590805,1,0
1631634484,3,0
1631678164,3,0
1631765524,4,0
1631809204,2,0
1631896564,1,0
1631940244,1,0
1631983923,1,0
1632027844,2,0
1632115443,1,0
1632159124,1,0
1632224644,1,0
1632355925,2,0
1632443284,1,0
1632486964,1,0
1632530643,1,0
1632574323,1,0
1632618008,1,0
1632661683,2,0
1632705603,2,0
1632793444,2,0
1632837125,1,0
1632924724,1,0
1632968404,1,0
1633012084,1,0
1633056003,2,0
1633143364,1,0
1633187043,2,0
1633230723,1,0
1633274404,1,0
1633318083,2,0
1633361763,1,0
1633405443,1,0
1633536723,1,0
1633624323,2,0
1633711924,1,0
1633799764,2,0
1633843444,1,0
1633887123,2,0
1633930804,4,0
1633974484,2,0
1634018163,1,0
1634149203,3,0
1634236563,1,0
1634280244,2,0
1634367843,1,0
1634455203,1,0
1634586243,4,0
1634629923,1,0
1634673604,1,0
1634760964,1,0
1634848324,1,0
1634892003,1,0
1634935688,1,0
1634979604,2,0
1635023284,3,0
1635066964,1,0
1635154564,1,0
1635198245,1,0
1635285604,1,0
1635372965,2,0
1635416644,2,0
1635460324,1,0
1635547923,2,0
1635635524,2,0
1635723123,2,0
1635766805,2,0
1635810484,1,0
1635854404,1,0
1635898324,2,0
1635942243,1,0
1635985923,2,0
1636073524,1,0
1636117204,1,0
1636161123,2,0
1636204804,2,0
1636248724,3,0
1636292403,2,0
1636336323,2,0
1636423923,5,0
1636511284,2,0
1636554963,1,0
1636598644,3,0
1636642323,3,0
1636686004,2,0
1636729923,5,0
1636773604,3,0
1636861204,2,0
1636904884,1,0
1636948563,2,0
1637035923,1,0
1637123283,1,0
1637166964,2,0
1637210644,2,0
1637254323,1,0
1637298244,2,0
1637385844,3,0
1637473447,2,0
1637517123,1,0
1637560804,6,0
1637604723,3,0
1637648404,1,0
1637692324,1,0
1637736003,1,0
1637779683,1,0
1637823364,1,0
1637867044,1,0
1637954404,1,0
1637998084,3,0
1638129363,1,0
1638173044,2,0
1638216723,3,0
1638260404,3,0
1638348003,1,0
1638391923,1,0
1638435602,1,0
1638566883,3,0
1638654483,1,0
1638785523,2,0
1638829203,2,0
1638873124,6,0
1638916804,1,0
1638960484,3,0
1639004163,4,0
1639047844,1,0
1639091524,2,0
1639135443,3,0
1639179364,2,0
1639310404,1,0
1639354084,1,0
1639397763,1,0
1639441443,3,0
1639485123,3,0
1639529043,2,0
1639660084,2,0
1639747443,2,0
1639791363,2,0
1639835043,1,0
1639878723,1,0
1639966083,2,0
1640009764,1,0
1640053444,2,0
1640097122,2,0
1640184483,2,0
1640228164,2,0
1640315523,1,0
1640359443,1,0
1640403123,1,0
1640446803,1,0
1640490483,3,0
1640534404,1,0
1640578083,2,0
1640621763,1,0
1640665443,1,0
1640753043,3,0
1640796724,4,0
1640840404,1,0
1640928243,1,0
1640971924,1,0
1641015603,1,0
1641059283,1,0
1641146884,3,0
1641190803,1,0
1641234483,1,0
1641321843,2,0
1641365523,2,0
1641409443,2,0
1641453364,1,0
1641497043,2,0
1641540724,1,0
1641628323,1,0
1641715683,3,0
1641759364,4,0
1641803043,1,0
1641846724,1,0
1641934084,2,0
1641977764,1,0
1642065123,1,0
1642108804,3,0
1642152723,3,0
1642240084,1,0
1642327924,1,0
1642371844,3,0
1642415524,3,0
1642459205,6,0
1642546804,4,0
1642590724,1,0
1642634404,5,0
1642678324,3,0
1642809604,1,0
1642853283,1,0
1642940643,1,0
1643028244,2,0
1643071924,1,0
1643115844,2,0
1643159523,1,0
1643203444,2,0
1643247124,1,0
1643290804,1,0
1643334724,2,0
1643378404,1,0
1643465763,1,0
1643509443,2,0
1643553124,1,0
1643640723,2,0
1643684404,2,0
1643771763,1,0
1643837283,4,0
1643880964,3,0
1643924644,1,0
1643968323,1,0
1644012003,3,0
1644055683,4,0
1644099363,3,0
1644143043,2,0
1644186734,3,0
1644230404,1,0
1644274084,1,0
1644361444,3,0
1644405124,3,0
1644448804,2,0
1644536403,2,0
1644624005,2,0
1644667924,1,0
1644711844,3,0
1644755764,1,0
1644799443,2,0
1644843123,1,0
1644887045,1,0
1644931444,3,0
1644975124,1,0
1645106644,2,0
1645151044,2,0
1645195444,1,0
1645239123,1,0
1645326484,1,0
1645502404,1,0
1645546083,1,0
1645589763,8,0
1645677364,2,0
1645764963,1,0
1645852323,1,0
1645896244,1,0
1645939923,3,0
1646027523,1,0
1646071203,2,0
1646115123,1,0
1646158804,2,0
1646202723,1,0
1646246403,2,0
1646290083,2,0
1646333763,2,0
1646421123,2,0
1646465043,1,0
1646508724,1,0
1646552404,2,0
1646596083,1,0
1646639763,3,0
1646771045,1,0
1646814724,2,0
1646858644,5,0
1646946004,1,0
1646989683,1,0
1647077043,1,0
1647120723,2,0
1647164644,2,0
1647208323,1,0
1647252003,1,0
1647295924,7,0
1647339844,2,0
1647427444,2,0
1647471124,1,0
1647514804,2,0
1647558724,1,0
1647602644,2,0
1647690004,1,0
1647733926,1,0
1647777603,2,0
1647821523,2,0
1647865203,2,0
1647908883,1,0
1647952564,1,0
1647996243,2,0
1648171204,3,0
1648302244,4,0
1648345924,1,0
1648389604,2,0
1648433283,1,0
1648476970,4,0
1648520643,3,0
