DateTime,AddedIPs,RemovedIPs
1649568939,1,0
1649613341,1,0
1649658642,0,1
1649661944,3,0
1649662541,1,0
1649669448,0,1
1649675436,0,1
1649676336,2,0
1649752831,1,0
1649754926,6,0
1649756430,5,0
1649761523,18,0
1649798739,4,0
1649801741,0,1
1649846439,4,0
1649847040,2,0
1649857245,1,0
1649860241,1,0
1649861147,0,1
1649864743,0,1
1649868344,2,0
1649887839,2,0
1649904938,0,1
1649918142,1,0
1649926843,1,0
1649953843,0,1
1649968539,1,0
1650003941,2,0
1650071444,0,1
1650088538,1,0
1650093942,1,0
1650149438,2,0
1650183340,1,0
1650194442,1,0
1650195340,0,1
1650216041,1,0
1650219941,0,1
1650223542,0,1
1650234645,1,0
1650264341,1,0
1650271839,2,0
1650298241,7,0
1650298540,2,0
1650298840,1,0
1650300041,1,0
1650303640,1,0
1650304241,1,0
1650304540,1,0
1650348041,0,1
1650357338,1,0
1650358242,2,0
1650376539,1,0
1650385540,6,0
1650399341,1,0
1650423038,2,0
1650423338,3,0
1650423641,1,0
1650424238,1,0
1650430539,2,0
1650441941,2,0
1650451242,1,0
1650452137,0,1
1650472240,5,0
1650473737,1,0
1650486042,1,0
1650524138,0,1
1650531040,0,1
1650540641,1,0
1650540938,1,0
1650553839,1,0
1650566138,0,1
1650576939,1,0
1650582938,1,0
1650594340,1,0
1650606937,1,0
1650636642,0,1
1650650442,0,1
1650654040,1,0
1650661539,1,0
1650664847,0,1
1650685545,1,0
1650724540,1,0
1650735338,0,1
1650738043,0,2
1650744642,1,0
1650785738,0,1
1650786339,0,1
1650788138,2,0
1650796538,2,0
1650819648,1,0
1650859839,2,0
1650862538,2,0
1650862847,2,0
1650863438,4,0
1650863739,1,0
1650864040,2,0
1650864645,3,0
1650864942,2,0
1650865241,1,0
1650865842,2,0
1650866140,1,0
1650866743,2,0
1650867340,4,0
1650867641,2,0
1650867941,2,0
1650868242,2,0
1650868542,1,0
1650868841,1,0
1650869439,3,0
1650869738,1,0
1650870044,1,0
1650870643,4,0
1650870946,2,0
1650871244,1,0
1650871840,2,0
1650872142,1,0
1650873338,2,0
1650873643,1,0
1650873940,2,0
1650874539,2,0
1650875743,2,0
1650877243,2,0
1650877844,1,0
1650878140,2,0
1650878439,0,4
1650878744,1,0
1650879643,2,0
1650880240,2,0
1650880844,1,0
1650881441,2,0
1650882039,1,0
1650882342,1,0
1650882942,3,0
1650883540,2,0
1650884140,1,0
1650884443,1,0
1650889541,1,0
1650896146,1,2
1650906342,1,0
1650960939,2,0
1650980442,4,0
1650980742,1,0
1651016740,1,0
1651055440,1,0
1651059041,1,0
1651059342,1,0
1651065940,0,1
1651073442,1,0
1651073740,1,0
1651077045,1,0
1651084538,2,0
1651084842,1,0
1651095049,1,0
1651095639,1,0
1651095940,1,0
1651098938,1,0
1651102539,1,0
1651152937,1,0
1651153241,3,0
1651163740,1,0
1651168847,0,1
1651200940,0,1
1651231846,1,0
1651232141,1,0
1651233642,3,0
1651248046,1,0
1651250142,1,0
1651252540,0,1
1651254345,1,0
1651257641,1,0
1651258239,1,0
1651259744,0,1
1651260939,1,0
1651266042,1,0
1651271741,1,0
1651279239,3,0
1651332938,1,0
1651335339,1,0
1651338043,0,1
1651338640,9,0
1651391141,1,0
1651394139,1,0
1651402847,1,0
1651426543,1,0
1651434342,1,0
1651448139,1,0
1651456538,0,1
1651456849,1,0
1651523740,1,0
1651530342,1,0
1651530941,1,0
1651542639,0,1
1651623047,1,0
1651646746,0,2
1651651543,1,0
1651664748,1,0
1651665340,0,1
1651667142,0,1
1651689644,1,0
1651690245,1,0
1651690843,0,1
1651693543,1,0
1651693839,1,0
1651697439,1,0
1651701039,2,0
1651704342,1,0
1651704639,1,0
1651707944,1,0
1651708239,1,0
1651711544,1,0
1651711839,1,0
1651712137,1,0
1651715139,1,0
1651715441,1,0
1651719040,1,0
1651722340,1,0
1651722639,1,0
1651725944,1,0
1651726239,1,0
1651729839,1,0
1651733443,2,0
1651736744,1,0
1651738239,2,0
1651740349,1,0
1651740644,1,0
1651747546,1,0
1651748138,1,0
1651751141,1,0
1651751738,1,0
1651754443,1,0
1651758344,1,0
1651758641,1,0
1651765840,1,0
1651769441,1,0
1651771847,2,0
1651773040,1,0
1651774240,1,0
1651776641,1,0
1651779948,1,0
1651780538,1,0
1651783246,1,0
1651783846,1,0
1651787443,2,0
1651791338,0,1
1651794347,1,0
1651798238,1,0
1651801544,1,0
1651805444,1,0
1651812344,1,0
1651812648,1,0
1651816244,1,0
1651819844,1,0
1651823445,1,0
1651827042,2,0
1651828543,0,1
1651830648,1,0
1651837844,1,0
1651841741,1,0
1651845045,1,0
1651852242,1,0
1651855542,1,0
1651858542,1,0
1651862743,1,0
1651870244,1,0
1651881340,1,0
1651881946,1,0
1651882542,2,0
1651884042,1,0
1651884646,1,0
1651885242,1,0
1651885841,1,0
1651886444,1,0
1651890346,1,0
1651890941,2,0
1651891244,1,0
1651892450,1,0
1651892746,1,0
1651909243,0,2
1651951850,0,1
1651964457,1,0
1652007948,1,0
1652028351,1,0
1652036139,1,0
1652041248,1,0
1652051145,1,0
1652055344,0,1
1652100939,0,1
1652113242,1,0
1652172644,6,0
1652174144,0,1
1652182540,0,1
1652204139,0,1
1652211341,0,1
1652249439,1,0
1652249743,0,1
1652288749,2,0
1652350246,1,0
1652414138,1,0
1652440241,2,0
1652480144,1,0
1652494239,0,1
1652548544,1,0
1652560539,0,1
1652566545,0,1
1652576137,2,0
1652576744,1,0
1652598048,0,1
1652616944,2,0
1652654138,0,1
1652656550,1,0
1652689243,1,0
1652728244,1,0
1652774445,1,0
1652779244,1,0
1652785546,1,0
1652793639,1,0
1652816741,0,1
1652826643,0,1
1652866840,0,1
1652870139,1,0
1652875541,0,1
1652889641,0,1
1652909740,1,0
1652944840,0,1
1652968539,0,1
1652991042,0,1
1653006944,1,0
1653007240,0,1
1653042945,0,1
1653044138,0,1
1653064539,1,0
1653088541,1,0
1653101440,0,1
1653191738,0,1
1653208541,0,1
1653210638,1,0
1653270644,0,4
1653270939,0,2
1653271245,0,1
1653271840,0,1
1653284439,0,1
1653340245,2,0
1653361242,0,1
1653390639,1,0
1653407738,16,0
1653430244,1,0
1653448541,1,0
1653474343,0,1
1653483338,3,0
1653485445,6,0
1653486643,1,0
1653486938,2,0
1653522642,0,1
1653547243,0,1
1653552641,3,0
1653556542,0,1
1653635747,0,1
1653696347,2,0
1653698139,0,1
1653781842,0,1
1653783942,1,0
1653846640,1,0
1653855341,2,0
1653855643,5,0
1653856243,1,0
1653857151,3,0
1653857741,2,0
1653911743,0,1
1653930640,1,0
1653933947,0,1
1653939043,0,1
1653939948,1,0
1653946543,0,1
1654016140,1,0
1654025444,0,1
1654077340,2,0
1654082147,0,1
1654090841,0,1
1654110344,0,1
1654116043,0,1
1654147848,0,1
1654174850,0,1
1654185643,2,0
1654187741,1,0
1654224940,6,0
1654239643,0,1
1654249246,0,1
1654257646,1,0
1654355145,0,1
1654392343,1,0
1654394446,5,0
1654454141,1,0
1654461942,1,0
1654493445,0,2
1654494346,4,0
1654503939,1,0
1654511443,0,1
1654538140,5,0
1654572938,0,1
1654581642,0,1
1654582842,0,1
1654602043,1,0
1654611942,1,0
1654620939,1,0
1654627845,0,1
1654705843,1,0
1654707342,0,1
1654785643,0,1
1654792542,1,0
1654845041,1,0
1654859746,1,0
1654867241,0,1
1654909841,1,0
1654923340,2,0
1655091341,2,0
1655097345,0,1
1655139343,0,1
1655157941,1,0
1655183743,0,1
1655197548,0,1
