DateTime,AddedIPs,RemovedIPs
1646329302,512,0
1646349106,0,256
1646361708,256,0
1646369781,0,256
1646403100,256,512
1646406681,0,256
1646414803,256,256
1646439082,256,256
1646486809,0,256
1646491300,256,0
1646510436,256,0
1646514680,0,256
1646522806,256,256
1646527281,0,256
1646577699,256,512
1646659598,512,0
1646675804,0,256
1646683905,256,0
1646741479,0,256
1646749610,0,256
1646753199,768,256
1646782006,0,256
1646837951,256,256
1646845900,0,256
1646923298,512,512
1646943102,256,256
1647005207,0,256
1647008797,512,0
1647020499,256,0
1647093483,0,512
1647097878,256,256
1647114100,0,256
1647134805,256,0
1647178897,256,0
1647183399,256,0
1647212209,256,0
1647219732,256,0
1647263477,0,768
1647267078,256,256
1647304009,256,0
1647353477,0,256
1647357077,256,0
1647361598,0,512
1647369700,256,0
1647443477,1024,0
1647451598,0,256
1647459701,0,256
1647467801,0,256
1647496708,1536,0
1647508311,256,0
1647522676,0,512
1647533419,256,0
1647577311,0,1024
1647581177,0,256
1647588423,0,256
1647595816,0,256
1647614137,0,256
1647618076,0,256
1647647198,0,512
1647654365,1280,0
1647742553,256,512
1647825079,0,1024
1647840466,256,0
1647914354,512,0
1647920818,0,256
1647999398,0,512
1648024851,768,0
1648107478,768,256
1648180597,1024,0
1648192987,0,512
1648265037,256,1024
1648268347,0,256
1648343760,512,0
1648350662,0,256
1648423079,0,1024
1648429448,768,0
1648583912,512,0
1648623452,256,0
1648663011,512,0
1648666454,0,512
1648702679,256,0
1648706061,0,256
1648741285,512,0
1648749447,256,768
1648810571,1024,0
1648825889,256,256
1648865499,0,512
1648894301,0,1536
1648910489,1024,0
1648918592,256,0
1648930270,0,256
1648995099,0,512
1648999589,768,256
1649003189,256,0
1649011291,256,0
1649023122,256,0
1649027470,256,0
1649083292,0,768
1649111198,0,512
1649155302,0,256
1649158870,0,256
1649171489,512,256
1649175090,256,256
1649198496,256,0
1649251587,1024,0
1649255189,256,256
1649259689,0,256
1649275892,0,256
1649292088,256,256
1649335269,0,768
1649342488,512,0
1649346993,256,0
1649374896,0,256
1649427988,768,768
1649455868,256,0
1649512580,1024,512
1649520690,0,256
1649536895,0,256
1649544098,0,256
1649597185,0,512
1649601694,0,256
1649608897,256,0
1649617233,256,0
1649674670,0,768
1649681925,768,0
1649689867,256,0
1649766412,0,512
1649774467,256,0
1649782600,256,0
1649794267,0,256
1649810511,0,256
1649858344,0,768
1649862693,1280,0
1649867193,0,256
1649890925,256,0
1649898701,256,0
1649947302,0,1024
1649950902,0,256
1649963488,768,0
1649971590,256,0
1649975190,0,256
1649983293,256,0
1650031009,512,0
1650048087,0,512
1650058890,0,256
1650063392,256,0
1650067892,0,256
1650100293,256,0
1650115583,768,512
1650120085,256,0
1650140790,0,256
1650148892,0,256
1650201995,0,512
1650206484,1024,0
1650210084,0,256
1650213686,256,0
1650221900,256,0
1650230790,256,256
1650246965,0,256
1650290261,768,1280
1650298286,256,256
1650307289,0,256
1650314491,0,256
1650374796,0,512
1650382885,256,0
1650393688,0,256
1650415294,256,0
1650463068,768,0
1650471986,0,256
1650487289,256,0
1650495630,256,0
1650504393,256,0
1650507993,0,256
1650547594,0,1024
1650551183,768,0
1650559285,256,0
1650567559,256,0
1650571000,0,256
1650587192,0,256
1650634893,0,768
1650639489,512,0
1650643884,0,256
1650647485,768,0
1650655587,512,0
1650659188,256,0
1650667290,0,256
1650723982,1024,768
1650732083,0,768
1650739285,256,0
1650748287,256,0
1650759990,0,256
1650807691,0,1280
1650811282,512,0
1650822963,0,256
1650827486,0,256
1650895881,1792,0
1650899481,0,512
1650907584,0,256
1650978690,0,1024
1650982290,0,512
1650986781,768,0
1650990383,0,256
1650998484,256,0
1651006586,256,0
1651014689,256,0
1651062381,256,0
1651070483,256,0
1651093043,0,256
1651109193,0,256
1651148793,0,512
1651160493,0,256
1651164081,768,256
1651168583,0,256
1651176684,0,256
1651180285,256,0
1651244304,512,0
1651331461,512,768
1651343182,256,0
1651347683,0,256
1651415188,0,768
1651419679,768,0
1651424181,0,256
1651444885,512,0
1651452961,256,0
1651497077,768,0
1651500678,0,256
1651527684,0,256
1651540288,256,0
1651548387,0,256
1651583488,0,512
1651591588,0,256
1651595179,768,256
1651599679,0,256
1651606880,0,256
1651623084,0,256
1651670776,768,0
1651678876,1536,512
1651718459,256,0
1651758059,256,1024
1651762559,256,256
1651766159,0,1024
1651798560,256,0
1651841759,768,512
1651848982,256,0
1651857079,512,0
1651869683,256,0
1651928181,0,1536
1651931787,0,256
1651936277,256,256
1651940778,256,0
1651948881,0,256
1651956082,256,0
1652019076,0,512
1652050847,256,0
1652098287,0,512
1652106376,1024,0
1652129952,512,0
1652137885,256,0
1652146888,256,256
1652189177,512,0
1652193679,0,1024
1652213483,256,0
1652217085,256,0
1652229689,0,1024
1652270210,0,768
1652294483,256,0
1652317890,256,0
1652358390,0,256
1652370079,512,0
1652378156,0,256
1652402457,0,256
1652451078,256,0
1652454678,256,0
1652482847,256,0
1652534789,0,256
1652539270,512,0
1652542856,256,0
1652550081,0,256
1652566286,0,256
1652574388,256,256
1652623088,768,512
1652626697,256,0
1652630322,0,256
1652639181,0,256
1652642782,256,0
1652654486,256,0
1652663456,256,0
1652708489,0,1024
1652712077,256,0
1652728280,0,256
1652748986,256,256
1652798488,0,768
1652807476,512,0
1652816479,0,256
1652829982,256,0
1652906478,256,256
1652922683,256,0
1652972272,256,512
1652992879,256,256
1653051509,768,0
1653055156,256,0
1653075681,0,256
1653095454,256,0
1653136876,256,768
1653144079,0,512
1653164788,256,0
1653172891,256,0
1653180094,0,256
1653221453,0,512
1653225979,256,0
1653256591,0,256
1653260674,256,0
1653309697,0,768
1653313280,768,0
1653333052,256,0
1653345693,256,256
1653361896,256,0
1653397322,512,512
1653430291,0,512
1653438396,256,0
1653483397,0,512
1653495997,0,256
1653499578,512,0
1653511282,256,0
1653579686,0,1024
1653586872,512,0
1653599475,256,0
1653606651,256,0
1653673272,0,256
1653685180,256,0
1653693051,256,0
1653745251,256,768
1653773177,256,0
1653784881,256,0
1653829882,0,1024
1653842472,512,0
1653849674,256,0
1653857954,0,256
1653922570,512,0
1653926163,0,768
1653951622,256,0
1653999081,256,0
1654003569,256,0
1654007171,0,256
1654014374,256,0
1654022474,256,0
1654038140,0,256
1654050381,256,0
1654087282,0,768
1654091749,768,0
1654098949,0,256
1654103472,256,0
1654124179,0,256
1654132249,0,256
1654177270,512,256
1654192548,0,256
1654262783,0,768
1654281671,256,0
1654290673,256,256
1654298777,256,0
1654351848,256,0
1654355448,256,0
1654368048,0,512
1654379884,0,256
1654384248,256,0
1654436448,0,256
1654441040,256,0
1654456271,256,0
1654464373,0,256
1654476047,256,256
1654524075,0,512
1654527672,768,0
1654539048,0,256
1654543570,256,0
1654548072,256,0
1654605667,256,0
1654609267,0,256
1654612868,256,0
1654621362,256,256
1654632647,0,256
1654645248,0,256
1654648877,0,256
1654692978,0,256
1654720871,256,0
1654734375,256,0
1654742447,0,256
1654814478,0,256
1654863980,0,512
1654868468,256,0
1654885573,256,0
1654909847,256,0
1654949446,0,512
1654953967,1280,0
1654970249,0,256
1654986371,256,0
1655037646,0,512
1655050269,256,512
1655066473,0,256
1655078184,0,256
1655088971,256,0
1655126767,256,0
1655210482,0,512
1655219446,512,0
1655248277,256,0
1655304080,0,768
1655307668,512,0
1655315864,0,256
1655332875,256,0
1655387902,512,0
1655392267,0,256
1655404871,256,0
1655412074,256,0
1655424677,0,256
1655429178,512,0
1655473279,0,768
1655477766,256,0
1655515575,0,512
1655564442,0,512
1655568644,512,0
1655576766,256,0
1655581268,256,0
1655584868,0,256
1655601072,0,256
1655638863,512,0
1655649668,256,0
1655654170,0,512
1655663173,0,256
1655671277,0,256
1655678480,256,0
1655724386,0,512
1655732469,512,0
1655736070,256,0
1655757679,256,0
1655817969,256,0
1655822471,0,256
1655826072,0,256
1655845842,256,256
1655902587,512,0
1655906171,0,512
1655918776,256,0
1655923277,256,0
1655930480,256,0
1655939442,256,0
1655988086,0,512
1656004269,0,768
1656086700,512,768
1656097841,256,0
1656118573,0,256
1656171640,0,256
1656180152,512,0
1656192365,256,0
1656265268,0,768
1656268857,512,256
1656342013,256,0
1656355257,256,256
1656427268,0,512
1656430859,256,0
1656434460,256,0
1656443461,256,0
1656463267,256,0
1656514832,256,0
1656519038,0,512
1656522658,256,512
1656527159,256,0
1656531660,0,256
1656550677,256,0
1656599156,512,0
1656607238,0,256
1656635163,256,256
1656683738,256,512
1656708037,0,256
1656728763,0,256
1656764754,512,0
1656808836,0,256
1656848437,0,768
1656857436,512,0
1656865557,0,256
1656881953,256,0
1656942036,0,512
1656946739,512,0
1657032066,0,256
1657048258,256,0
1657055459,256,0
1657113052,256,0
1657117553,256,0
1657121155,0,256
1657132857,0,256
1657140959,0,256
1657144588,256,0
1657194063,0,256
1657201234,0,256
1657210254,256,0
1657230058,0,256
1657291235,256,0
1657294853,0,256
1657371508,512,0
1657375834,0,256
1657460434,256,0
1657464990,0,256
1657477558,0,256
