DateTime,AddedIPs,RemovedIPs
1647496708,2048,2048
1647501102,256,256
1647508311,512,512
1647516430,256,256
1647528143,512,512
1647533419,256,256
1647537025,256,256
1647566454,512,512
1647654365,1280,1280
1647742553,1024,1024
1647840466,256,256
1647914354,512,512
1648024851,768,768
1648107478,1280,1280
1648180597,1792,1792
1648182493,512,512
1648265037,768,768
1648343760,1024,1024
1648429448,768,768
1648505415,768,768
1648547699,512,512
1648583912,1280,1280
1648623452,512,512
1648663011,1280,1280
1648702679,256,256
1648741285,1280,1280
1648749447,512,512
1648781792,768,768
1648810571,1792,1792
1648814171,256,256
1648817976,256,256
1648825889,256,256
1648845695,256,256
1648910489,1280,1280
1648914091,256,256
1648918592,256,256
1648925890,256,256
1648938396,512,512
1648946499,256,256
1648999589,1280,1280
1649003189,256,256
1649011291,256,256
1649019496,512,512
1649023122,512,512
1649027470,1024,1024
1649071589,1024,1024
1649075190,256,256
1649083292,256,256
1649086894,256,256
1649090493,256,256
1649111198,256,256
1649171489,768,768
1649175090,256,256
1649178691,256,256
1649190393,256,256
1649198496,256,256
1649206706,256,256
1649251587,1280,1280
1649255189,256,256
1649263290,256,256
1649271473,256,256
1649279493,512,512
1649283995,256,256
1649292088,256,256
1649342488,1280,1280
1649346993,256,256
1649379456,256,256
1649427988,1536,1536
1649436090,256,256
1649447879,256,256
1649451506,256,256
1649455868,256,256
1649459468,256,256
1649512580,1536,1536
1649516188,256,256
1649528792,256,256
1649552325,256,256
1649588201,768,768
1649608897,256,256
1649613401,256,256
1649617233,512,512
1649625103,256,256
1649681925,1024,1024
1649689867,256,256
1649694398,256,256
1649702501,256,256
1649710605,256,256
1649718138,256,256
1649725867,256,256
1649774467,768,768
1649782600,256,256
1649862693,1280,1280
1649867193,256,256
1649890925,256,256
1649898701,256,256
1649906802,256,256
1649963488,1024,1024
1649971590,256,256
1649975190,256,256
1649983293,512,512
1649991366,256,256
1650031009,1024,1024
1650035485,256,256
1650055289,256,256
1650063392,256,256
1650100293,256,256
1650103892,256,256
1650111992,256,256
1650115583,1280,1280
1650120085,256,256
1650123685,256,256
1650145290,256,256
1650148892,256,256
1650156094,256,256
1650165094,256,256
1650206484,1280,1280
1650213686,256,256
1650221900,256,256
1650230790,256,256
1650290261,768,768
1650298286,256,256
1650302787,512,512
1650310890,256,256
1650382885,512,512
1650386487,256,256
1650415294,256,256
1650423364,256,256
1650463068,1024,1024
1650487289,256,256
1650495630,256,256
1650504393,256,256
1650551183,1024,1024
1650559285,256,256
1650567559,256,256
1650583591,256,256
1650639489,768,768
1650647485,768,768
1650655587,512,512
1650659188,256,256
1650667290,256,256
1650675392,256,256
1650723982,1280,1280
1650739285,512,512
1650743763,256,256
1650748287,256,256
1650751887,256,256
1650756388,256,256
1650811282,768,768
1650818484,256,256
1650895881,1792,1792
1650899481,512,512
1650907584,256,256
1650986781,768,768
1650990383,256,256
1650998484,256,256
1651006586,256,256
1651014689,256,256
1651021891,256,256
1651034492,256,256
1651062381,1280,1280
1651070483,256,256
1651075885,256,256
1651081285,512,512
1651084887,256,256
1651093043,256,256
1651164081,768,768
1651180285,256,256
1651188388,256,256
1651192889,256,256
1651200962,256,256
1651244304,1536,1536
1651247903,256,256
1651252281,256,256
1651260384,512,512
1651263985,256,256
1651272086,256,256
1651331461,1024,1024
1651339581,256,256
1651343182,256,256
1651351284,256,256
1651419679,1024,1024
1651424181,256,256
1651433182,256,256
1651436782,256,256
1651444885,512,512
1651452961,256,256
1651461087,256,256
1651497077,1536,1536
1651504278,512,512
1651508780,256,256
1651515982,256,256
1651524084,512,512
1651540288,256,256
1651595179,1024,1024
1651603280,256,256
1651610481,256,256
1651623084,256,256
1651670776,1280,1280
1651674377,256,256
1651678876,1536,1536
1651682477,256,256
1651711284,256,256
1651718459,256,256
1651758059,768,768
1651762559,256,256
1651790483,256,256
1651798560,256,256
1651841759,1536,1536
1651845359,256,256
1651848982,256,256
1651857079,512,512
1651861581,256,256
1651869683,256,256
1651936277,768,768
1651940778,256,256
1651948881,512,512
1651952481,256,256
1651956082,256,256
1652015476,512,512
1652022677,256,256
1652050847,256,256
1652058687,256,256
1652106376,1280,1280
1652129952,512,512
1652137885,256,256
1652146888,1024,1024
1652189177,768,768
1652213483,256,256
1652217085,512,512
1652274117,512,512
1652294483,256,256
1652310070,256,256
1652317890,256,256
1652370079,768,768
1652394385,256,256
1652451078,1024,1024
1652454678,256,256
1652466382,512,512
1652474483,256,256
1652482847,256,256
1652490656,512,512
1652539270,1024,1024
1652542856,256,256
1652546481,256,256
1652554772,256,256
1652574388,256,256
1652623088,1280,1280
1652626697,512,512
1652630322,256,256
1652634656,256,256
1652642782,256,256
1652654486,256,256
1652663456,256,256
1652712077,1024,1024
1652724679,256,256
1652732782,256,256
1652748986,256,256
1652807476,768,768
1652821143,256,256
1652829982,256,256
1652890421,768,768
1652894775,256,256
1652906478,512,512
1652914582,256,256
1652922683,256,256
1652972272,768,768
1652980276,256,256
1652984777,256,256
1652988378,256,256
1652992879,512,512
1653000081,256,256
1653008600,256,256
1653051509,1280,1280
1653055156,256,256
1653059476,512,512
1653079282,256,256
1653087385,256,256
1653091888,256,256
1653095454,256,256
1653136876,512,512
1653164788,256,256
1653172891,512,512
1653180094,256,256
1653189053,256,256
1653225979,768,768
1653260674,256,256
1653313280,768,768
1653316879,256,256
1653333052,256,256
1653345693,512,512
1653361896,256,256
1653397322,1024,1024
1653405982,512,512
1653409584,256,256
1653425792,256,256
1653433852,256,256
1653438396,256,256
1653499578,1024,1024
1653511282,256,256
1653586872,768,768
1653599475,256,256
1653606651,256,256
1653660651,1024,1024
1653685180,256,256
1653693051,256,256
1653745251,1024,1024
1653773177,256,256
1653784881,256,256
1653842472,768,768
1653849674,256,256
1653922570,768,768
1653939674,256,256
1653943275,256,256
1653951622,512,512
1653999081,256,256
1654003569,1024,1024
1654014374,256,256
1654022474,256,256
1654030838,256,256
1654038140,256,256
1654050381,256,256
1654091749,1024,1024
1654095446,256,256
1654103472,256,256
1654107974,256,256
1654132249,256,256
1654177270,1280,1280
1654180871,256,256
1654209680,256,256
1654217783,256,256
1654225882,256,256
1654281671,512,512
1654290673,256,256
1654298777,256,256
1654303249,256,256
1654351848,512,512
1654355448,256,256
1654359969,256,256
1654368048,256,256
1654379884,256,256
1654384248,256,256
1654392378,256,256
1654441040,512,512
1654456271,256,256
1654476047,256,256
1654527672,1024,1024
1654531847,256,256
1654535447,256,256
1654543570,256,256
1654548072,256,256
1654556175,256,256
1654564248,256,256
1654605667,512,512
1654612868,256,256
1654621362,512,512
1654629048,256,256
1654648877,512,512
1654656978,256,256
1654701047,512,512
1654709169,256,256
1654713669,256,256
1654720871,256,256
1654729847,256,256
1654734375,256,256
1654778467,768,768
1654795572,256,256
1654799173,256,256
1654806375,256,256
1654868468,512,512
1654885573,256,256
1654909847,256,256
1654953967,1536,1536
1654958462,256,256
1654962070,256,256
1654965671,512,512
1654981847,512,512
1654986371,256,256
1654993580,256,256
1655050269,512,512
1655053846,256,256
1655058371,256,256
1655066473,256,256
1655073675,256,256
1655088971,256,256
1655126767,768,768
1655154676,256,256
1655162780,256,256
1655167281,256,256
1655219446,768,768
1655232073,256,256
1655248277,256,256
1655307668,768,768
1655312170,256,256
1655332875,256,256
1655340078,256,256
1655387902,1024,1024
1655404871,256,256
1655412074,512,512
1655421044,256,256
1655429178,512,512
1655433678,256,256
1655477766,768,768
1655498471,256,256
1655507169,256,256
1655515575,256,256
1655568644,512,512
1655576766,256,256
1655581268,256,256
1655584868,256,256
1655638863,512,512
1655649668,256,256
1655678480,256,256
1655687483,256,256
1655732469,768,768
1655736070,512,512
1655745073,256,256
1655757679,256,256
1655764882,256,256
1655773843,256,256
1655817969,1024,1024
1655822471,512,512
1655829673,512,512
1655837777,256,256
1655845842,256,256
1655902587,1024,1024
1655918776,768,768
1655923277,256,256
1655930480,256,256
1655939442,512,512
1655952085,512,512
1655999768,768,768
1656004269,256,256
1656008771,256,256
1656024075,256,256
1656033041,256,256
1656086700,512,512
1656097841,256,256
1656102370,256,256
1656110471,256,256
1656180152,1024,1024
1656184240,256,256
1656192365,256,256
1656196840,256,256
1656268857,768,768
1656289561,256,256
1656342013,512,512
1656355257,256,256
1656363364,256,256
1656371439,256,256
1656375968,256,256
1656430859,512,512
1656434460,512,512
1656443461,256,256
1656463267,256,256
1656514832,512,512
1656522658,512,512
1656527159,256,256
1656535260,256,256
1656542463,256,256
1656550677,512,512
1656599156,1024,1024
1656607238,256,256
1656615612,256,256
1656623438,256,256
1656631563,256,256
1656635163,256,256
1656643237,256,256
1656683738,768,768
1656688237,256,256
1656699958,256,256
1656708037,512,512
1656716641,256,256
1656724237,256,256
1656764754,1024,1024
1656772837,256,256
1656780058,256,256
1656857436,512,512
1656881953,256,256
1656946739,768,768
1656954658,256,256
1656961860,256,256
1656966361,256,256
1656974464,256,256
1656987965,256,256
1657035654,512,512
1657048258,256,256
1657055459,256,256
1657113052,512,512
1657117553,256,256
1657144588,256,256
1657149060,256,256
1657210254,512,512
1657291235,512,512
1657299354,256,256
1657371508,512,512
1657379434,256,256
1657392034,256,256
1657412762,256,256
1657460434,512,512
1657485659,256,256
