DateTime,AddedIPs,RemovedIPs
1607977700,0,2
1608064041,2,0
1608150471,0,4
1608236863,3,0
1608323222,1,2
1608409624,2,2
1608496048,2,1
1608582408,1,2
1608668862,1,2
1608755251,2,1
1608841621,2,3
1608928112,3,3
1609014426,2,1
1609100857,1,0
1609187240,1,1
1609273644,1,0
1609360018,0,1
1609446491,1,1
1609532789,0,2
1609619215,1,0
1609705665,2,0
1609792090,0,1
1609878430,0,1
1609964840,2,0
1610051278,0,2
1610137602,1,0
1610224022,0,2
1610310439,1,0
1610396845,1,1
1610483235,1,1
1610569598,1,1
1610656027,2,0
1610915254,0,2
1611001638,2,1
1611088031,1,1
1611174423,2,3
1611260844,2,2
1611347210,2,0
1611433636,0,1
1611520032,0,1
1611606483,0,1
1611692775,2,1
1611779195,0,2
1611865635,3,1
1611952051,1,0
1612038411,0,3
1612124821,3,0
1612211277,2,1
1612297668,0,1
1612384186,1,2
1612470436,1,2
1612556852,1,3
1612643212,3,0
1612729566,0,2
1612816051,2,2
1612902424,1,2
1612988842,1,0
1613075239,1,0
1613161623,0,1
1613334415,0,1
1613420835,2,1
1613507342,1,2
1613593671,2,0
1613680204,1,1
1613766539,1,1
1613852881,0,1
1613939257,1,1
1614025767,0,4
1614112131,5,0
1614198551,0,3
1614284800,1,1
1614371191,1,0
1614457645,0,1
1614544000,3,0
1614630418,0,3
1614716882,2,0
1614803255,1,0
1614889632,0,1
1614976008,0,3
1615062411,4,1
1615148797,1,1
1615235258,1,0
1615321625,0,2
1615408065,1,2
1615494465,2,1
1615580951,1,1
1615667231,1,0
1615749977,1,3
1615836447,3,2
1615922867,1,0
1616009658,0,1
1616095717,1,1
1616182419,2,4
1616268449,5,0
1616354838,0,2
1616441300,0,3
1616527685,3,0
1616614347,0,8
1616700525,7,1
1616786786,1,2
1617348408,1,0
1618126012,2,4
1618212391,2,1
1618558084,2,2
1618644478,3,2
1618730816,2,2
1618817225,1,4
1618903695,3,2
1618990073,2,0
1619249306,1,4
1619335599,4,0
1619422003,0,3
1619508490,1,2
1619594848,1,2
1619681239,1,2
1619767652,2,1
1619854105,2,2
1619940442,1,1
