DateTime,AddedIPs,RemovedIPs
1650111992,256,256
1650115583,1280,1280
1650120085,256,256
1650123685,256,256
1650142206,0,4096
1650145290,256,256
1650148892,256,256
1650156094,256,256
1650165094,256,256
1650206484,1280,1280
1650213686,256,256
1650221900,256,256
1650228605,256,0
1650230790,256,256
1650262294,256,0
1650274894,256,0
1650290261,768,768
1650298286,256,256
1650302787,512,512
1650310890,256,256
1650315302,512,256
1650382885,512,512
1650386487,256,256
1650401702,256,15360
1650406291,0,1024
1650415294,256,256
1650423364,256,256
1650463068,1024,1024
1650475587,256,0
1650488102,7936,6144
1650490891,256,256
1650495630,256,256
1650504393,256,256
1650551183,1024,1024
1650559285,256,256
1650563787,512,0
1650567559,256,256
1650574503,0,5376
1650583591,256,256
1650639489,768,768
1650647485,768,768
1650655587,512,512
1650660903,256,5376
1650667290,256,256
1650672602,256,256
1650675392,256,256
1650723982,1280,1280
1650739285,512,512
1650743763,256,256
1650747303,5120,0
1650748287,256,256
1650751887,256,256
1650759990,256,256
1650811282,768,768
1650818484,256,256
1650833702,256,0
1650895881,1792,1792
1650899481,512,512
1650907584,256,256
1650920102,512,1536
1650986781,768,768
1650990383,256,256
1650998484,256,256
1651006502,256,8448
1651006586,256,256
1651014689,256,256
1651021891,256,256
1651034492,256,256
1651062381,1280,1280
1651070483,256,256
1651075885,256,256
1651081285,512,8704
1651084887,256,256
1651092903,1792,2816
1651093043,256,256
1651164081,768,768
1651179303,0,4352
1651180285,256,256
1651192889,512,512
1651200962,256,256
1651206451,0,256
1651232489,0,512
1651244304,1536,1536
1651247903,256,256
1651252281,256,256
1651260384,512,512
1651265703,0,4864
1651267587,256,256
1651272086,256,256
1651290961,256,0
1651331461,1024,1024
1651339581,256,256
1651343182,256,256
1651352102,0,1536
1651355761,256,256
1651419679,1024,1024
1651424181,256,256
1651433182,256,256
1651441283,256,256
1651444885,512,512
1651452961,256,256
1651461087,256,256
1651497077,1536,1536
1651504278,512,512
1651508780,256,256
1651515982,256,256
1651527684,512,512
1651540288,512,256
1651555587,0,16384
1651595179,1024,1024
1651603280,256,256
1651611302,0,1536
1651614960,256,256
1651619460,256,0
1651623084,256,256
1651670776,1280,1280
1651674377,256,256
1651678876,1536,1536
1651682477,256,256
1651697702,3328,6656
1651711284,256,256
1651718459,256,256
1651758059,768,768
1651762559,256,256
1651774279,512,0
1651784102,0,1792
1651790483,256,256
1651798560,256,256
1651838159,0,1024
1651841759,1536,1536
1651845359,256,256
1651848982,256,256
1651857079,512,512
1651861581,256,256
1651870502,0,4608
1651873283,256,256
1651936277,768,768
1651940778,256,256
1651948881,512,66048
1651952481,256,256
1651960757,256,256
1652015476,512,512
1652022677,256,256
1652043302,256,0
1652050847,256,256
1652058687,256,256
1652109977,1280,1280
1652129702,0,4608
1652129952,512,512
1652137885,256,256
1652146888,1024,1024
1652189177,768,768
1652213483,256,256
1652216102,1024,8960
1652217085,512,512
1652274117,512,512
1652286537,256,0
1652294483,256,256
1652302502,2816,8192
1652310070,256,256
1652317890,256,256
1652334982,0,256
1652370079,768,768
1652388903,0,5120
1652394385,256,256
1652451078,1024,1024
1652454678,256,256
1652462781,0,65536
1652466382,512,512
1652475302,0,3328
1652478985,256,256
1652482847,256,256
1652490656,512,512
1652539270,1024,1024
1652542856,256,256
1652546481,256,256
1652554772,256,256
1652574388,256,256
1652623088,1280,1280
1652626697,512,512
1652630322,256,256
1652634656,256,256
1652642782,256,256
1652648103,512,0
1652654486,256,256
1652663456,256,256
1652712077,1024,1024
1652724679,256,256
1652734502,256,768
1652737283,256,256
1652748986,256,256
1652793987,0,4096
1652807476,768,768
1652811978,256,0
1652820903,768,4608
1652821143,256,256
1652829982,256,256
1652890421,768,768
1652894775,256,256
1652907303,11776,13312
1652914582,256,256
1652922683,256,256
1652972272,768,768
1652980276,256,256
1652984777,256,256
1652988378,256,256
1652993702,1024,14080
1652996480,512,512
1653000081,256,256
1653008600,256,256
1653051509,1280,1280
1653055156,256,256
1653059476,512,512
1653080126,0,15616
1653083785,2304,256
1653091501,256,256
1653091888,256,256
1653095454,256,256
1653136876,512,512
1653166525,0,512
1653168389,256,256
1653172891,512,512
1653180094,256,256
1653189053,256,256
1653225979,768,768
1653252925,256,0
1653268253,256,256
1653313280,768,768
1653316879,256,256
1653333052,256,256
1653339323,0,5120
1653345693,512,512
1653361896,256,256
1653400202,1024,1024
1653405982,512,512
1653409584,256,1280
1653425726,0,7424
1653425792,256,256
1653433852,256,256
1653438396,256,256
1653499578,1024,1024
1653512131,512,7168
1653514884,256,256
1653586872,768,768
1653598529,1536,9984
1653599475,256,256
1653606651,256,256
1653660651,1024,1024
1653684932,0,3840
1653685180,256,256
1653693051,256,256
1653745251,1024,1024
1653771325,256,3840
1653773177,256,256
1653784881,256,256
1653842472,768,768
1653849674,256,256
1653922570,768,768
1653939674,256,256
1653944130,256,7680
1653946876,256,256
1653951622,512,512
1653999081,256,256
1654003569,1024,1024
1654007171,0,4096
1654014374,256,256
1654022474,256,256
1654030503,0,5376
1654030838,256,256
1654041901,256,256
1654050381,256,256
1654091749,1024,1024
1654095446,256,256
1654103472,256,256
