DateTime,AddedIPs,RemovedIPs
1640982377,3,3
1641020438,3,0
1641064086,2,0
1641068828,6,5
1641107791,1,0
1641155180,5,4
1641195372,1,0
1641239307,6,0
1641241575,3,3
1641283213,11,0
1641327126,1,0
1641328014,3,4
1641370827,1,0
1641414572,4,4
1641458168,3,0
1641500779,3,5
1641502090,2,0
1641545788,2,0
1641587166,4,2
1641589448,1,0
1641633389,2,0
1641673529,2,2
1641677068,2,0
1641720750,4,0
1641759980,3,4
1641764413,1,0
1641808107,3,0
1641846378,2,2
1641895467,1,0
1641932803,2,5
1641939123,1,0
1641982805,2,0
1642019199,5,3
1642026509,3,0
1642070409,1,0
1642105673,4,5
1642157767,3,0
1642192585,8,6
1642278408,7,6
1642332724,1,0
1642364881,4,5
1642376429,8,0
1642420111,1,0
1642451576,3,4
1642464005,4,0
1642537669,4,3
1642551390,1,0
1642624377,5,4
1642638747,1,0
1642710442,5,6
1642726109,1,0
1642769788,1,0
1642797193,3,3
1642813451,1,0
1642883410,3,5
1642901047,5,0
1642944726,1,0
1642969545,6,7
1643032108,1,0
1643055998,5,4
1643075790,1,0
1643119448,2,0
1643142408,4,3
1643163124,6,0
1643206804,1,0
1643228823,6,5
1643250750,3,0
1643315239,4,5
1643338327,1,0
1643382248,3,0
1643401843,4,6
1643426168,2,0
1643488018,5,5
1643557472,1,0
1643574402,6,3
1643601148,1,0
1643660844,4,4
1643747234,3,4
1643775846,2,0
1643819790,3,0
1643833630,3,6
1643863446,3,0
1643907366,1,0
1643920021,8,4
1644006497,2,4
1644038671,1,0
1644082353,1,0
1644092807,6,3
1644126002,3,0
1644169708,2,0
1644179199,2,7
1644257182,1,0
1644265641,6,1
1644300991,1,0
1644344647,2,0
1644352043,3,6
1644388352,1,0
1644438486,5,5
1644519366,2,0
1644524803,6,4
1644563053,3,0
1644611277,4,3
1644650648,2,0
1644694571,1,0
1644697583,4,3
1644738485,1,0
1644782169,1,0
1644783999,2,5
1644825873,2,0
1644869550,8,0
1644870473,6,3
1644913203,2,0
1644957180,3,0
1645001297,3,2
1645043288,4,4
1645045311,1,0
1645089286,2,0
1645129669,4,6
1645133118,2,0
1645176755,1,0
1645216042,5,4
1645220711,2,0
1645264455,3,0
1645302380,3,4
1645351985,1,0
1645388816,3,3
1645395759,1,0
1645475285,5,4
1645483206,4,0
1645561681,5,5
1645570824,1,0
1645614509,1,0
1645648628,3,5
1645658435,3,0
1645702109,3,0
1645735067,4,2
1645745768,2,0
1645821519,4,5
1645833136,4,0
1645877048,2,0
1645907225,2,1
1645920728,2,0
1645993666,3,2
1646008334,8,0
1646052031,2,0
1646080064,4,1
1646139627,7,0
1646166399,1,5
1646183524,3,0
1646227229,1,0
1646252873,4,7
1646270909,1,0
1646314573,2,0
1646339248,3,2
1646358245,2,0
1646401950,2,0
1646425673,4,4
1646445604,1,0
1646512047,4,5
1646577125,1,0
1646598472,5,3
1646621047,7,0
1646664972,4,0
1646684850,3,3
1646708895,12,0
1646752565,5,0
1646771224,1,3
1646839950,2,0
1646857690,4,5
1646883628,1,0
1646944044,4,2
1647030460,2,4
1647058347,1,0
1647102026,1,0
1647116889,3,1
1647145924,1,0
1647189626,1,0
1647199706,1,3
1647276967,2,0
1647286168,4,4
1647364590,1,0
1647372621,5,5
1647408245,1,0
1647458879,7,3
1647495626,3,0
1647539288,2,0
1647545298,2,3
1647626647,1,0
1647631660,3,5
1647670567,2,0
1647718041,6,5
1647758187,3,0
1647801862,2,0
1647804449,3,2
1647889227,1,0
1647890914,6,8
1647977407,4,6
1648020484,4,0
1648064409,5,2
1648108329,1,0
1648150200,5,4
1648152004,1,0
1648236465,5,2
1648239606,1,0
1648322846,2,5
1648370663,1,0
1648409252,3,3
1648414345,1,0
1648458012,2,0
1648495869,3,4
1648582129,2,2
1648589525,1,0
1648668530,4,2
1648676907,2,0
1648754878,2,5
1648764490,9,0
1648808184,1,0
1648841252,4,5
1648851848,9,0
1648895542,4,0
1648927675,5,4
1648939208,2,0
1648982900,3,0
1649014099,3,4
1649026566,7,0
1649070248,5,0
1649100473,4,2
1649114185,4,0
1649157864,1,0
1649186878,2,4
1649245469,4,0
1649273252,5,4
1649289144,3,0
1649333051,1,0
1649359670,6,5
1649376742,1,0
1649420645,3,0
1649446020,2,6
1649464340,8,0
1649508023,6,0
1649532380,4,2
1649551686,5,0
1649595363,6,0
1649618859,3,2
1649639067,5,0
1649682996,5,0
1649705304,5,5
1649726646,3,0
1649770323,3,0
1649791769,4,4
1649814004,1,0
1649857706,3,0
1649878137,6,6
1649901363,2,0
1649945285,4,0
1649964498,2,4
1649988986,2,0
1650032888,3,0
1650050852,4,5
1650076587,2,0
1650120248,3,0
1650137195,4,1
1650163927,1,0
1650207634,1,0
1650223683,3,5
1650251531,3,0
1650295204,2,0
1650310101,5,5
1650338909,2,0
1650382804,2,0
1650396445,6,5
1650426483,9,0
1650470169,11,0
1650482853,2,4
1650513869,5,0
1650557526,4,0
1650569342,5,3
1650601204,6,0
1650644888,4,0
1650655626,2,2
1650688563,4,0
1650732248,6,0
1650742025,4,3
1650775926,3,0
1650819611,3,0
1650828418,3,7
1650863524,8,0
1650907452,9,0
1650914887,7,3
1650951128,5,0
1650994804,3,0
1651001277,2,2
1651038728,6,0
1651082404,4,0
1651087987,3,5
1651126085,1,0
1651169786,2,0
1651174090,5,3
1651213464,4,0
1651257367,1,0
1651260486,4,4
1651301044,2,0
1651344745,6,0
1651346850,3,6
1651432324,2,0
1651433287,4,1
1651476249,4,0
1651519926,2,0
1651563628,3,3
1651606142,5,7
1651607310,3,0
1651650990,1,0
1651692466,5,3
1651694670,5,0
1651738329,3,0
1651778874,4,3
1651782029,3,0
1651825683,6,0
1651865293,2,4
1651869604,5,0
1651913528,3,0
1651951699,6,3
1651957448,5,0
1652001368,1,0
1652038091,5,3
1652045047,4,0
1652088726,3,0
1652124426,3,5
1652132412,3,0
1652176329,3,0
1652210835,4,5
1652220004,3,0
1652297249,6,7
1652307389,3,0
1652351065,1,0
1652383641,4,1
1652394752,3,0
1652438431,2,0
1652470014,2,4
1652482105,3,0
1652526010,1,0
1652556422,5,5
1652569689,2,0
1652613609,2,0
1652642935,5,4
1652657525,2,0
1652701208,4,0
1652729256,4,6
1652744889,1,0
1652788568,2,0
1652815771,4,4
1652832270,2,0
1652875950,3,0
1652902055,4,4
1652919609,2,0
1652963548,3,0
1652988520,4,4
1653007207,2,0
1653051129,1,0
1653075039,2,2
1653094805,1,0
1653138894,2,0
1653161329,4,4
1653182650,5,0
1653226347,1,0
1653247783,4,3
1653313956,4,0
1653334150,3,4
1653357607,3,0
1653401284,6,0
1653420550,4,3
1653445204,4,0
1653488887,2,0
1653506900,4,3
1653532587,2,0
1653576489,1,0
1653593293,2,3
1653620414,5,0
1653664326,1,0
1653679815,3,2
1653708413,1,0
1653752170,3,0
1653766044,4,6
1653795845,3,0
1653839534,3,0
1653852501,5,4
1653883208,3,0
1653938990,2,2
1653970804,4,0
1654014755,1,0
1654025330,2,3
1654102083,2,0
1654111673,5,4
1654146039,4,0
1654189690,2,0
1654198025,3,6
1654233605,1,0
1654277530,3,0
1654284459,5,4
1654321210,3,0
1654364917,1,0
1654371497,5,2
1654452905,2,0
1654457879,4,4
1654496651,2,0
1654540845,4,0
1654544294,1,2
1654584490,2,0
1654628169,2,0
1654630075,3,4
1654671876,2,0
1654716473,5,4
1654759447,4,0
1654847074,3,4
1654889410,4,2
1654890726,1,0
1654934407,7,0
1654976357,3,5
1654978087,2,0
1655022005,5,0
1655062733,3,5
1655065926,10,0
1655109631,4,0
1655149178,7,4
1655153312,2,0
1655196991,7,0
1655234903,5,5
1655240671,3,0
1655284329,5,0
1655321324,3,7
1655328031,4,0
1655371686,8,0
1655407776,7,4
1655415396,3,0
1655459073,2,0
1655494164,4,3
1655502753,4,0
1655580499,3,4
1655590484,3,0
1655666884,5,6
1655678169,2,0
1655753307,3,4
1655765796,1,0
1655809447,1,0
1655839655,5,4
1655853127,2,0
1655897048,1,0
1655926343,2,4
1655940726,2,0
1655984653,2,0
1656012576,4,1
1656028325,5,0
1656072004,1,0
1656099032,5,4
1656115690,2,0
1656159394,1,0
1656185317,5,6
1656203290,1,0
1656247001,2,0
