DateTime,Entries,UniqueIPs
1614211226,2483,47666893
1614297630,2484,47666893
1614384025,2463,47666872
1614470426,2018,47666428
1614556825,1943,47666353
1614643229,1967,47666379
1614729627,2039,47666448
1614816025,2016,47666420
1614902426,1836,47666232
1614988826,1846,47666240
1615075226,1838,47666196
1615161627,1840,47666198
1615248027,1847,47666205
1615334430,1853,47666211
1615420827,1862,47666221
1615507228,1804,47666161
1615593629,1737,47666097
1615675447,1978,57181565
1615680026,1950,57181553
1615766428,1934,57181541
1615852826,1929,57181537
1615939238,1926,57181535
1616025633,1986,57181600
1616112030,1999,57181614
1616198429,2001,57181616
1616284827,1971,57181588
1616371228,2018,57181636
1616428803,2019,57181892
1616457629,2036,57181911
1616544025,2057,57181949
1616630427,2071,57181963
1616716828,2065,57181958
1617359427,2148,57182036
1618077631,2078,57181978
1618596027,2102,57182014
1618682428,2098,57181998
1618768827,2101,57181987
1618855231,2213,57182097
1618941627,2234,57182121
1619028027,2219,57182105
1619114437,2302,57182191
1619200828,2321,57182216
1619287229,2345,57182237
1619373627,2334,57182225
1619460027,2308,57182197
1619546429,2307,57182195
1619632825,2299,57182185
1619719228,2166,57182054
1619805627,2131,57182012
1619892031,2146,57182026
1619978426,2079,57181956
1620064831,2071,57181948
1620151229,2048,57181921
1620237629,2052,57181917
1620324027,2060,57181922
1620410429,2083,57181944
1620496827,2093,57181944
1620583228,2048,57181902
1620669627,2051,57181905
1620756028,2032,57181878
1620842428,2018,57181866
1620928830,2040,57181888
1621015228,2061,57181942
1621101626,2064,57181947
1621188028,2067,57181948
1621274427,2054,57181936
1621360828,2030,57181905
1621447226,2073,57181949
1621533626,2098,57181975
1621620028,2086,57181961
1621706426,2082,57181956
1621792827,2015,57181886
1621879229,2014,57181890
1621965629,2043,57181924
1622052030,2097,57181985
1622138427,2119,57182014
1622224829,2119,57182018
1622311228,2067,57181966
1622397625,2053,57181952
1622484027,2052,57181949
1622570427,2048,57181944
1622656827,2045,57181941
1622743227,2202,57182094
1622829627,2185,57182075
1622916026,2131,57182022
1623002428,2105,57181992
1623088835,2106,57181998
1623175228,2146,57182044
1623261629,2175,57182076
1623348029,2305,57182207
1623434426,2389,57182292
1623520827,2380,57182287
1623607226,2370,57182275
1623693626,2361,57182264
1623780031,2363,57182265
1623866430,2369,57182271
1623952828,2403,57182303
1624039227,2404,57182301
1624125633,2425,57182324
1624212028,2160,57182046
1624298430,2095,57181976
1624384829,2093,57181972
1624471227,2101,57181979
1624557628,2084,57181962
1624644030,2291,57182169
1624730427,2307,57182187
1624816828,2355,57182253
1624903229,2359,57182264
1624989627,2354,57182262
1625076030,2442,57182366
1625162431,2462,57182391
1625248830,2463,57182401
1625335229,2439,57182382
1625421630,2558,57182512
1625508028,2352,57182335
1625594433,2384,57182370
1625680833,2347,57182300
1625767229,2335,57182277
1625853639,2330,57182266
1625940039,2298,57182215
1626026428,2503,57182418
1626112827,2497,57182408
1626199226,2554,57182477
1626220804,2513,153244899
1626285628,2421,153244798
1626372042,2399,153244765
1626458431,2391,153244749
1626544836,2400,153244752
1626631234,2392,153244743
1626717628,2377,153244729
1626804028,2366,153244718
1626890443,2147,153244507
1626976833,2153,153244511
1627063229,2137,153244492
1627149630,2129,153244483
1627236028,2109,153244463
1627322429,2319,153244677
1627329602,2342,57182490
1627408842,2323,57182468
1627495229,2354,57182500
1627581631,2359,57182490
1627668035,2380,57182509
1627754429,2368,57182480
1627840827,2362,57182476
1627927228,2349,57182463
1628013632,2362,57182476
1628100028,2378,57182490
1628186431,2381,57182487
1628272829,2323,57182416
1628359227,2284,57182378
1628445632,2292,57182387
1628532032,2307,57182402
1628618428,2326,57182447
1628704829,2351,57182475
1628791227,2378,57182514
1628877631,2368,57182505
1628964029,2323,57182461
1629050427,2118,57182254
1629064372,2119,57183278
1629136836,2114,57183275
1629223233,2247,57183419
1629309630,2256,57183436
1629396030,2229,57183410
1629482430,2259,57183446
1629568835,2260,57183448
1629655228,2217,57183402
1629741629,2218,57183401
1629828029,2229,57183410
1629914428,2231,57183414
1630000827,2228,57183410
1630130436,2034,57183197
1630216856,2029,57183180
1630303235,2032,57183184
1630389632,2113,57183264
1630476033,2207,57183370
1630546129,2207,57191561
1630562460,2245,57191602
1630648841,2272,57191630
1630735260,2269,57191624
1630821632,2249,57191566
1630908034,2254,57191574
1630994438,2260,57191582
1631080870,2341,57191679
1631167233,2342,57191679
1631253648,2273,57191599
1631340039,2161,57191490
1631426435,2145,57191499
1631505136,2148,57259083
1631512833,2131,57259066
1631599246,2138,57259072
1631685635,2146,57259084
1631772051,2169,57259109
1631858429,2161,57259098
1631944836,2092,57259018
1632031240,2084,57259009
1632117652,2078,57259005
1632204041,2091,57259017
1632290445,2132,57259060
1632376837,2152,57259084
1632463934,2154,57262161
1632549633,2165,57262176
1632636051,2299,57262317
1632722438,2307,57262323
1632808840,2346,57262380
1632895236,2373,57262407
1632900083,2376,57264967
1632981629,2390,57264996
1633068034,2392,57264997
1633074250,2395,57397093
1633154441,2376,57397062
1633240874,2378,57397050
1633327253,2374,57397041
1633335609,2374,57462576
1633413627,2329,57462530
1633500031,2190,57462389
1633586433,2192,57462391
1633672849,2163,57462357
1633712403,2162,57462611
1633759247,2151,57462601
1633845649,2121,57462579
1633932036,2116,57462576
1633946175,2068,57528037
1634018429,2094,57528063
1634104837,2065,57528034
1634191240,2053,57528024
1634277634,2064,57528034
1634364053,2281,57528254
1634450434,2279,57528250
1634536833,2274,57528242
1634623237,2311,57528278
1634709663,2323,57528285
1634796033,2312,57528272
1634882433,2323,57528285
1634968835,2298,57528261
1634992120,2298,57561028
1635055354,2289,57561019
1635141636,2267,57560998
1635228051,2035,57560764
1635314435,2040,57560770
1635400839,2051,57560781
1635487228,2055,57560784
1635573636,2046,57560775
1635660040,2482,57561239
1635746461,2637,57561425
1635832838,2676,57561465
1635919253,2775,57561586
1636005638,2781,57561590
1636092038,2783,57561592
1636178436,2790,57561600
1636264878,2769,57561579
1636351241,2755,57561563
1636437634,2764,57561572
1636524033,2373,57561097
1636610496,2185,57560930
1636696840,2180,57560922
1636783274,2074,57560805
1636869652,2060,57560788
1636956177,2030,57560754
1637042475,2032,57560756
1637128835,2042,57560739
1637215240,2048,57560738
1637301732,2009,57560696
1637388033,2005,57560692
1637474445,1982,57560664
1637477528,1982,57529175
1637560851,1964,57529156
1637647243,1976,57529178
1637733655,1965,57529194
1637820054,1937,57529164
1637906442,1930,57529157
1637992849,1929,57529156
1638079240,1914,57529141
1638165645,1933,57529163
1638252043,1945,57529175
1638338455,1952,57529181
1638424841,1954,57529183
1638511317,1966,57529164
1638597643,1946,57529136
1638684041,1928,57529119
1638770433,1926,57529116
1638856850,1919,57529110
1638943263,1941,57529131
1639029635,1959,57529159
1639116034,1947,57529167
1639202450,1953,57529173
1639288840,1952,57529173
1639375254,1953,57529172
1639461643,1977,57529197
1639548051,1989,57529213
1639634447,1988,57529218
1639720841,1999,57529228
1639807237,1977,57529207
1639893651,1956,57529185
1639980035,1946,57529175
1640066460,1978,57529208
1640152864,1979,57529208
1640239247,2035,57529270
1640325650,2041,57529276
1640412048,2158,57529404
1640422803,2159,57529420
1640498434,2148,57529409
1640584841,2330,57529593
1640671240,2539,57529827
1640757651,2740,57530064
1640844061,2815,57530150
1640930453,2782,57530117
1640964250,2785,57694981
1641016831,2785,57694981
1641103260,2757,57694948
1641189646,2732,57694923
1641276031,2605,57694783
1641362432,2611,57694788
1641448848,2457,57694597
1641578429,2258,57694370
1641664832,2093,57694201
1641751231,2119,57694226
1641837631,2116,57694222
1641924030,2119,57694225
1642010432,2133,57694239
1642096834,2129,57694233
1642183230,2129,57694234
1642269629,2159,57694266
1642356030,2129,57694236
1642442435,2075,57694190
1642528834,2045,57694160
1642615230,2011,57694125
1642701630,2031,57694156
1642788031,2008,57694130
1642874434,2008,57694130
1642960831,2022,57694143
1643047232,2029,57694151
1643133630,2048,57694165
1643220035,2054,57694172
1643306438,2037,57694146
1643392831,2076,57694186
1643479231,2163,57694270
1643565630,2176,57694271
1643652033,2175,57694281
1643667610,2176,57695305
1643738431,2275,57695404
1643824833,2300,57695429
1643911230,2417,57695547
1643997630,2387,57695517
1644084032,2497,57695636
1644170431,2477,57695615
1644256830,2470,57695604
1644343231,2453,57695587
1644429630,2446,57695581
1644516032,2443,57695571
1644602431,2335,57695460
1644688834,2263,57695388
1644775232,2052,57695173
1644861632,2052,57695159
1644948032,1958,57695063
1645034441,1973,57695078
1645120831,1982,57695088
1645207230,1985,57695090
1645293629,1946,57695038
1645380030,1933,57695060
1645466433,1918,57695044
1645552831,1950,57695078
1645639230,1970,57695097
1645725633,1978,57695105
1645812030,1980,57695107
1645898437,1978,57695105
1645984830,1979,57695106
1646071236,1985,57695113
1646157634,2031,57695160
1646244034,2033,57695161
1646330432,2050,57695176
1646416830,2045,57695171
1646503234,2031,57695157
1646589632,2024,57695150
1646676032,1995,57695119
1646762433,1996,57695120
1646848835,1983,57695108
1646935232,2012,57695138
1647021632,1965,57695091
1647108032,1958,57695084
1647194434,1951,57695077
1647280833,2004,57695131
1647367231,2057,57695193
1647453634,2160,57695299
1647540031,2203,57695343
1647626435,2243,57695383
1647712834,2303,57695443
1647799233,2438,57695578
1647885632,2571,57695712
1647972031,2704,57695812
1648058433,2729,57695845
1648144838,2683,57695799
1648231231,2641,57695751
1648317635,2586,57695697
1648404050,2525,57695634
1648464256,2530,60449169
1648490436,2481,60449122
1648576832,2445,60449086
1648663234,2288,60448930
1648749631,2162,60448836
1648836033,2048,60448724
1648922430,2049,60448711
1649008832,2041,60448698
1649095234,2041,60448698
1649181632,2025,60448687
1649268035,2032,60448693
1649354444,2051,60448709
1649440832,2041,60448697
1649527234,2036,60448691
1649613638,2031,60448687
1649700032,2040,60448700
1649786435,2036,60448694
1649872831,2053,60448713
1649959230,2047,60448709
1650045631,2047,60448707
1650132030,2036,60448696
1650218431,2051,60448715
1650304831,2046,60448723
1650391232,2032,60448681
1650477632,2194,60448849
1650564030,2434,60449103
1650650432,2438,60449107
1650736831,2432,60449101
1650823239,2425,60449083
1650904601,2429,60487994
1650909633,2634,60488236
1650996035,2667,60488274
1651082433,2631,60488229
1651168837,2643,60488240
1651255232,2643,60488239
