DateTime,AddedIPs,RemovedIPs
1612575002,1771,1771
1612661624,1649,1649
1612748102,1196,1196
1612921502,3124,3124
1613008025,1862,1862
1613094602,1810,1810
1613181303,1894,1894
1613267862,1950,1950
1613354389,2080,2080
1613440805,2203,2203
1613527270,1841,1841
1613613762,1721,1721
1613700343,1475,1475
1613786897,1688,1688
1613873356,1788,1788
1613959807,2239,2239
1614046502,1941,1941
1614133065,1920,1920
1614219603,1786,1786
1614306303,1855,1855
1614392955,1762,1762
1614479403,2568,2568
1614565928,2315,2315
1614652429,1990,1990
1614738847,1836,1836
1614825445,1679,1679
1614912003,2290,2290
1614998702,2293,2293
1615085187,2312,2312
1615171624,2286,2286
1615258180,1998,1998
1615344677,2041,2041
1615431203,2416,2416
1615517703,2467,2467
1615604215,3009,3009
1615690640,3152,3152
1615777127,3196,3196
1615863589,2469,2469
1615950004,2552,2552
1616036472,2373,2373
1616122938,2143,2143
1616209422,2305,2305
1616295873,2361,2361
1616382317,2584,2584
1616468792,2155,2155
1616555403,2141,2141
1616642057,2232,2232
1616728502,2580,2580
1617334494,5556,5556
1618026374,5914,5914
1618112830,2310,2310
1618285802,2942,2942
1618372297,2071,2071
1618458849,1919,1919
1618631808,2671,2671
1618718227,2131,2131
1618804692,1702,1702
1618891150,1407,1407
1618977604,1383,1383
1619064064,1528,1528
1619150530,1562,1562
1619236992,1388,1388
1619323453,1823,1823
1619409903,1960,1960
1619496437,1533,1533
1619582898,1436,1436
1619669378,1392,1392
1619755804,1448,1448
1619842358,1543,1543
1619928810,1902,1902
1620015265,1705,1705
1620101704,2974,2974
1620188402,2355,2355
1620274937,1547,1547
1620361388,1538,1538
1620447902,1498,1498
1620534517,1608,1608
1620621004,1751,1751
1620707479,1425,1425
1620794001,1483,1483
1620880472,1418,1418
1620966902,1460,1460
1621053603,1625,1625
1621140162,1654,1654
1621226623,1722,1722
1621313101,1513,1513
1621399503,1565,1565
1621485991,1576,1576
1621572469,1743,1743
1621658912,2617,2617
1621745357,1900,1900
1621831804,2029,2029
1621918320,1968,1968
1622004827,2125,2125
1622091303,2060,2060
1622177897,2200,2200
1622264404,929,929
1622350863,3326,3326
1622437383,2539,2539
1622523873,2294,2294
1622610302,2198,2198
1622697003,2012,2012
1622783700,1947,1947
1622870105,2008,2008
1622956757,1171,1171
1623043207,2185,2185
1623129760,1801,1801
1623216304,1345,1345
1623302840,1299,1299
1623389403,2115,2115
1623475892,1399,1399
1623562469,1699,1699
1623648903,1753,1753
1623735603,1747,1747
1623822082,1404,1404
1623908531,1398,1398
1623994999,1542,1542
1624081501,1682,1682
1624167990,1484,1484
1624254607,1753,1753
1624341137,1470,1470
1624427703,1305,1305
1624514230,1499,1499
1624600690,1326,1326
1624687201,1892,1892
1624773669,1713,1713
1624860159,1780,1780
1624946613,1759,1759
1625033073,1446,1446
1625119503,1327,1327
1625206202,1517,1517
1625292903,1380,1380
1625379373,1329,1329
1625466003,1449,1449
1625552707,1209,1209
1625639298,1690,1690
1625812287,1770,1770
1625898745,1167,1167
1625985302,1835,1835
1626158407,1652,1652
1626245101,1362,1362
1626331607,1373,1373
1626418202,1495,1495
1626504664,1588,1588
1626591147,1444,1444
1626677707,1551,1551
1626764353,1479,1479
1626850808,1403,1403
1626937293,1292,1292
1627023730,1175,1175
1627110208,1366,1366
1627196731,1613,1613
1627283402,1769,1769
1627370012,1276,1276
1627456502,1321,1321
1627543059,1348,1348
1627629559,1343,1343
1627716179,1817,1817
1627802597,1661,1661
1627889058,1779,1779
1627975502,1218,1218
1628062203,1175,1175
1628148706,1333,1333
1628235158,1317,1317
1628321597,1423,1423
1628408102,1413,1413
