DateTime,AddedIPs,RemovedIPs
1605424572,0,6912
1605683952,12800,3072
1605770412,17920,7680
1605856874,20224,8704
1605943336,37376,8192
1606029793,4096,2560
1606116253,0,2304
1606289172,18688,9728
1606375634,18432,11008
1606462092,3840,20736
1606548552,2048,5120
1606635012,0,7168
1606894393,1280,4864
1606980856,340,29184
1607067317,768,8960
1607153789,15360,4096
1607240234,768,6400
1607499613,0,9728
1607586073,34816,2816
1607672590,139264,8704
1607759054,0,11776
1607845510,2304,72192
1607931973,0,256
1608104894,6656,9728
1608191352,6912,13312
1608277812,0,15616
1608364272,9216,9984
1608450732,6656,5120
1608537194,2048,512
1608710113,5120,16128
1608796573,9728,7168
1608883024,26112,8704
1608969494,0,3072
1609055953,0,1024
1609142419,0,1536
1609228927,0,2560
1609315841,2816,2560
1609402264,5888,11776
1609488797,12544,11008
1609575246,1280,12288
1609661760,0,8960
1609748327,0,3072
1609834828,0,3584
1609921476,4608,11776
1610008412,3072,25856
1610095113,48128,37888
1610181578,1024,23296
1610268755,256,28672
1610355304,8192,5376
1610528521,2560,6144
1610614924,4096,21760
1610701414,3072,97792
1610788092,256,17152
1610874758,3072,69632
1610961660,0,2304
1611048177,262144,0
1611134655,512,7680
1611221418,2304,2816
1611308347,1536,8960
1611395046,256,10496
1611481640,512,6912
1611655204,1280,5632
1611741724,512,9984
1611828205,256,38656
1611914682,4608,4096
1612001653,0,8960
1612088893,66560,1024
1612261867,0,3584
1612348954,0,5632
1612435625,0,7168
1612522137,256,8448
1612608712,527104,12032
1612868408,1536,6656
1612954993,0,6656
1613041521,14336,43520
1613128079,35840,19712
1613214621,0,5376
1613388313,0,256
1613474807,7168,10496
1613561223,0,15104
1613647758,256,8704
1613734304,11520,17408
1613821504,768,11520
1613908024,256,512
1614081607,135424,9472
1614168138,7936,8448
1614255350,0,69888
1614342147,21248,11264
1614429516,9728,15360
1614515988,0,1536
1614689197,12288,6656
1614775626,15872,6144
1614862835,512,12288
1614950130,512,9984
1615036605,768,10496
1615297194,6144,4864
1615383663,4352,3072
1615470124,32000,11264
1615556796,768,9984
1615643224,1536,16896
1615730411,256,22528
1615903356,3072,5632
1615989911,1024,13568
1616076555,256,14336
1616163180,4352,10496
1616249718,0,7680
1616510064,2304,13824
1616596622,256,12032
1616683113,1024,12288
1617290106,37888,37120
1618069505,13568,180480
1618242506,512,30720
1618329413,0,2048
1618502782,768,18688
1618589309,2048,81664
1618675757,7936,14592
1618762502,256,79104
1618849549,0,3584
1618936943,0,4608
1619023416,2048,5120
1619109961,6912,7936
1619196452,256,12544
1619283489,6400,9984
1619370000,128,15872
1619456427,0,2048
1619542908,172032,512
1619629330,0,4352
1619715786,0,6912
1619802286,512,6912
1619888905,19968,8960
1619975482,3072,7680
1620061922,0,1280
1620321982,0,12032
1620408767,768,6912
1620495184,1024,3840
1620581835,12032,17920
1620669169,0,1024
1620842133,51192,7936
1620928819,5888,9984
1621015829,78336,12800
1621102266,2048,10496
1621188742,3328,12032
1621535426,3072,22272
1621622383,1280,9216
1621709215,17920,9216
1621796283,0,27648
1621882806,0,512
1622055757,1024,4608
1622142273,3840,67328
1622229108,8704,7424
1622315738,17920,12024
1622402207,512,27904
1622662952,0,9728
1622749385,13312,5120
1622835851,5888,15360
1622922389,1536,6144
1623009609,512,7168
1623096093,1024,1024
1623270145,168192,11520
1623356595,35840,7168
1623443702,55552,10752
1623530784,3072,11520
1623618009,3072,7936
1623704469,1024,1792
1623877502,768,11264
1623964098,1536,4096
1624051454,1792,61440
1624138289,4096,8192
1624225000,0,256
1624398972,4096,15872
1624485608,3072,11008
1624572075,3072,7168
1624658572,1024,10240
1624744985,1280,14848
1624831470,0,256
1625004832,1024,8448
1625091499,4096,11264
1625177986,256,9472
1625264698,3328,7168
1625351103,0,42752
1625437702,0,5120
1625610688,1024,12544
1625697742,768,8960
1625784342,9984,34560
1625870791,0,52224
1625957339,0,31744
1626043797,0,11008
1626217204,1280,3840
1626303772,103696,13824
1626390224,5120,108560
1626476675,5376,10496
1626563381,3584,18688
1626823518,1024,9984
1626910281,0,11264
1626996887,1024,6656
1627083411,512,18432
1627169837,0,14336
1627257167,0,256
1627343610,0,256
1627430128,1536,11264
1627516710,256,6656
1627689723,5432072,12288
1628122273,5376,5475848
1628208747,2816,9984
1628295200,4864,9216
1628381660,0,8960
1628554949,0,3584
1628641417,0,9472
1628727917,2304,11008
1628814363,32768,15360
1628901046,2048,6656
1628987576,1280,11776
1629160627,0,768
1629247147,1280,13312
1629333797,256,12288
1629420280,137216,8448
1629506782,4608,24832
1629593535,3584,14336
1629680410,32768,1024
1629853445,0,14848
1629940022,0,14080
1630026567,512,12288
1630113029,0,10752
1630199481,0,20480
1630459343,13824,9472
1630545958,2304,8192
1630632662,3328,10240
1630719222,256,5120
1630805662,0,13056
1630892223,0,1024
1631065402,512,11776
1631152387,1280,12032
1631238898,5888,5376
1631325607,2304,13312
1631412126,0,5120
1631498645,0,768
1631585139,0,512
1631671801,3328,13056
1631759241,3600,13568
1631846208,256,7424
1631932748,768,17152
1632019611,1280,14080
1632106223,256,0
1632279430,1024,10240
1632366012,0,17920
1632452566,1280,10752
1632539002,256,14592
1632625479,1024,10240
1632711905,0,3584
1632798624,0,2048
1632885357,0,15872
1632972133,0,8192
1633058582,1024,15616
1633145277,0,12800
1633231819,1536,11776
1633318401,1280,27904
1633491979,14848,10752
1633578457,49664,75264
1633664883,19200,47360
1633751738,8192,20736
1633838170,0,41984
1633924806,256,18944
1634097722,256,11520
1634184388,2048,9728
1634270906,0,13568
1634357707,5120,16640
1634444164,6912,13568
1634530678,0,2560
1634617401,0,512
1634703871,512,9216
1634790430,18944,23808
1634876995,1024,5888
1634963477,512,17920
1635050038,0,14336
1635136672,0,1024
1635310356,12032,15872
1635397207,3328,25600
1635483776,256,20224
1635570209,2304,8448
1635656870,8192,12800
1635743312,0,1024
1635830011,0,512
1635916511,0,7680
1636002971,33024,19200
1636089702,3328,43776
1636176352,2560,22272
1636262777,0,12544
1636349238,0,512
1636522688,1280,43008
1636609624,51200,22016
1636696313,2304,18688
1636782825,512,18176
1636869293,3072,1536
1637042643,7936,23296
1637129201,5888,23296
1637216122,9984,19968
1637302572,2816,12800
1637389693,1024,11008
1637476580,25856,0
1637650025,3328,8704
1637737202,256,8192
1637823671,261632,13568
1637996591,1792,8704
1638083050,1536,9984
1638169511,0,768
1638342430,3328,6400
1638428892,768,12800
1638515350,512,8448
1638601810,256,12288
1638688269,0,25600
1638947651,8,19712
1639034112,2816,19712
1639120570,39168,18432
1639207030,256,14592
1639293490,8448,31744
1639379949,0,1024
1639552871,19200,14336
1639639330,18176,15104
1639725789,512,14336
1639812251,1536,13568
1639898710,2048,5888
1639985170,6144,2304
1640158090,1024,8960
1640244552,12544,9216
1640331010,512,15872
1640417470,256,11520
1640503930,0,6912
1640763311,4352,8448
1640849771,0,11520
1640936229,512,17408
1641022690,4608,10496
1641109149,1024,3584
1641368531,10496,7424
1641454990,512,10496
1641541451,0,18688
1641627911,3072,31488
1641714370,15360,33536
1641800825,1024,35584
1641973750,768,23296
1642060211,2048,12800
1642146670,75008,36352
1642233129,73216,10240
1642319590,1024,26368
1642406051,0,3328
1642578969,2560,12544
1642665430,6400,13312
1642751890,20736,12288
1642838355,2560,9984
1642924889,1280,17920
1643011360,256,256
1643184352,3072,15104
1643271323,0,145664
1643358191,0,18944
1643444824,7168,5888
1643531720,1024,13312
1643618675,0,1536
1643705224,0,512
1643791971,1792,8960
1643878679,256,5888
1643965202,26624,10240
1644052520,66048,32768
1644139264,0,72192
1644225786,0,512
1644399807,1024,5888
1644486424,34816,10752
1644572999,93952,43776
1644659410,21760,44032
1644746096,0,8448
1644832503,1280,256
1644919195,0,2048
1645005612,4352,10240
1645092151,5376,27136
1645178769,2816,33792
1645265872,256,8960
1645352749,0,16384
1645439384,0,256
1645612672,3328,10496
1645699438,256,7168
1645786023,1280,8960
1645873203,1024,5632
1645959687,0,7936
1646046146,0,3328
1646132686,73728,4864
1646219222,256,15104
1646305922,29696,6400
1646392519,2560,6144
1646479017,2048,11776
1646565482,0,10752
1646652314,0,512
1646825484,512,4608
1646912034,512,8448
1646998990,20992,5376
1647085624,4608,9728
1647172419,256,14336
1647258852,0,2816
1647432001,4352,6656
1647518513,1792,9216
1647605089,4864,5376
1647692064,0,37888
1647778520,1792,1792
1647865198,0,1536
1648038367,512,4096
1648125848,768,14080
1648212400,7424,24064
1648298824,3328,12544
1648385728,4096,22016
1648472235,0,3328
1648558688,0,3584
1648645203,67840,17152
1648731747,0,85760
1648904676,256,29184
1648991137,16640,1792
1649077585,8192,0
1649164025,3072,3072
1649250492,256,6656
1649336947,256,3840
1649423421,256,13056
1649509883,512,11776
1649596342,0,12544
1649769274,5376,3328
1649855704,19269376,99584
1649942173,249344,19281920
1650028642,6144,15104
1650115083,1280,183296
1650201546,4096,512
1650374473,256,5632
1650460958,27392,18176
1650547400,10784,18688
1650633904,11008,12288
1650720962,0,4096
