DateTime,AddedIPs,RemovedIPs
1537164074,1,19
1537250536,2,0
1537336987,3,0
1537596375,2,34
1537682843,2,0
1537769288,2,1
1537855757,2,0
1537942215,1,0
1538028674,3,0
1538115139,7,0
1538201643,1,0
1538288105,1,0
1538461340,4,0
1538547796,4,0
1538634258,2,0
1538807177,2,0
1538893639,1,0
1538980098,2,0
1539412396,1,0
1539671777,5,0
1540104076,4,3
1540190537,2,0
1540276996,2,0
1540363456,2,0
1540449903,1,0
1541055403,2,0
1541228467,3,0
1541401389,7,0
1541487858,1,0
1541747237,1,0
1541920157,1,0
1542006617,3,0
1542439038,1,0
1542525494,4,0
1543217174,2,0
1543476557,3,0
1543735935,3,0
1543822401,4,0
1543908856,2,0
1543995320,1,0
1544081775,2,0
1613084755,2255,0
1613171257,2,0
1613257682,2,0
1613344334,1,0
1613430812,2,0
1613517304,3,0
1613603820,3,0
1613690242,4,0
1613863848,3,0
1613950337,4,0
1614036863,3,0
1614123381,1,0
1614209921,1,0
1614296464,2,0
1614382923,3,0
1614469501,4,0
1614556006,2,0
1614642603,2,0
1614815814,3,0
1614902232,3,0
1614988692,2,0
1615075159,2,0
1615248079,3,0
1615334528,1,0
1615507483,3,0
1615593929,1,0
1615680559,3,0
1615853575,1,0
1615940011,2,0
1616026503,1,0
1616113112,4,0
1616199706,4,0
1616286324,4,0
1616372776,2,0
1616459259,9,0
1616545691,1,0
1616632157,2,0
1616718605,1,0
1617324382,17,0
1618016387,20,0
1618189303,1,0
1618275757,3,0
1618448688,2,0
1618621724,5,0
1618708165,3,0
1618794631,7,0
1618881066,2,0
1618967582,2,0
1619054103,1,0
1619140753,2,0
1619227209,4,0
1619313684,4,0
1619400159,1,0
1619486658,4,0
1619573452,1,0
1619659888,3,0
1619746447,3,0
1619919495,3,0
1620006036,3,0
1620092701,1,0
1620179172,4,0
1620265690,1,0
1620439033,2,0
1620525491,3,0
1620611999,1,0
1620698405,3,0
1620784867,2,0
1620871324,1,0
1620957862,1,0
1621130808,2,0
1621217397,6,0
1621303803,3,0
1621390497,5,0
