DateTime,Entries,UniqueIPs
1612523523,3363,339307
1612609982,3363,339309
1612696443,3361,339052
1612782902,3355,338256
1612869367,3340,338940
1612955825,3358,339266
1613042286,3358,339234
1613128742,3362,339308
1613215203,3365,337264
1613301666,3359,339294
1613388127,3359,339033
1613474587,3352,339061
1613561047,3356,339047
1613647503,3355,339012
1613733997,3348,337033
1613820431,3356,338976
1613906884,3360,339292
1613993351,3354,336684
1614079802,3356,338761
1614166266,3358,339038
1614252723,3358,339303
1614339186,3359,339043
1614425647,3355,339038
1614512102,3356,338657
1614598573,3356,339032
1614685028,3352,339290
1614771483,3361,339149
1614857949,3363,338793
1614944402,3355,339286
1615030868,3357,339047
1615117329,3359,338795
1615203786,3355,339294
1615290254,3363,338926
1615376703,3359,339035
1615463171,3360,339179
1615549627,3352,338602
1615636088,3352,337196
1615722548,3353,339043
1615809002,3353,331035
1615895468,3347,334989
1615981931,3360,339258
1616068388,3361,339285
1616154848,3357,339271
1616241302,3358,339273
1616414223,3356,338761
1616500689,3355,339238
1616587151,3356,339040
1616673602,3350,339017
1616760064,3354,339291
1617278822,3352,338726
1618056966,3360,339303
1618575723,3356,339032
1618662183,3359,339049
1618748643,3350,339012
1618835102,3351,333262
1618921562,3370,334968
1619008022,3361,339306
1619094485,3346,339007
1619180964,3357,339232
1619267403,3357,339302
1619353875,3360,339306
1619440341,3356,339295
1619526827,3356,338788
1619613262,3354,339285
1619699706,3356,339295
1619786168,3365,337262
1619872622,3367,338772
1619959088,3353,339021
1620045572,3352,338916
1620132002,3387,330853
1620218467,3361,339037
1620304935,3359,339097
1620391431,3361,339243
1620477854,3358,339281
1620564303,3356,339284
1620650764,3354,337460
1620737222,3349,338567
1620823699,3363,339309
1620910150,3356,339260
1620996602,3358,338523
1621083073,3354,338504
1621169523,3360,339048
1621255992,3352,339260
1621342459,3352,339267
1621428903,3354,339295
1621515372,3361,339276
1621601824,3362,339291
1621688282,3358,338978
1621774745,3353,338928
1621861202,3355,339300
1621947665,3359,339035
1622034125,3360,338902
1622120602,3348,338474
1622207045,3358,339302
1622293502,3359,339298
1622379965,3370,334200
1622466427,3354,338500
1622552956,3352,339130
1622639407,3370,338917
1622725863,3349,323550
1622812327,3355,339039
1622898787,3358,322920
1622985264,3363,339300
1623071702,3362,339308
1623158162,3355,338917
1623244627,3358,339257
1623331097,3358,339269
1623417572,3351,339042
1623504003,3357,338532
1623590468,3357,339232
1623676947,3361,337758
1623763401,3356,339285
1623849852,3356,338522
1623936303,3350,336704
1624022769,3359,339273
1624109225,3353,338446
1624195685,3352,331106
1624282163,3360,338522
1624368603,3352,335295
1624455079,3349,339078
1624541539,3360,339290
1624628000,3357,337456
1624714450,3356,338528
1624800902,3358,339289
1624887367,3360,339243
1624973840,3352,339035
1625060299,3365,337247
1625146749,3351,339285
1625233203,3359,331050
1625319663,3356,337240
1625406127,3358,339039
1625492584,3356,339247
1625579061,3352,338510
1625665503,3358,339034
1625751981,3360,339306
1625838435,3362,339053
1625924886,3357,339143
1626011354,3354,339145
1626097804,3355,339238
1626184267,3353,339170
1626270722,3351,338523
1626357186,3358,339266
1626443648,3356,339039
1626530110,3355,338749
1626616569,3353,337959
1626703021,3362,339213
1626789488,3356,339300
1626875948,3355,338790
1626962403,3362,335795
1627048866,3355,338182
1627135386,3356,338472
1627221842,3357,338770
1627308302,3359,339303
1627394762,3360,339028
1627481223,3359,339298
1627567682,3355,339014
1627654142,3358,339048
1627740603,3355,339300
1627827071,3355,338769
1627913539,3363,339054
1627999992,3362,339136
1628086466,3361,339301
1628172901,3352,337022
1628259368,3360,339044
1628345829,3361,331116
1628432284,3353,339299
1628518751,3357,339281
1628605257,3352,339035
1628691667,3356,339217
1628778122,3354,339027
1628864582,3351,338996
1628951042,3353,339205
1629037502,3358,338279
1629123962,3349,338090
1629210422,3361,331116
1629296882,3357,269634
1629383392,3349,336180
1629469803,3359,337638
1629556279,3352,338743
1629642752,3354,339032
1629729196,3341,319806
1629815642,3357,338536
1629902108,3359,339210
1629988570,3358,339042
1630075026,3356,338783
1630161507,3358,331110
1630334403,3358,339258
1630420866,3357,339296
1630507332,3352,335221
1630593800,3365,339055
1630680265,3355,339293
1630766707,3357,338985
1630853167,3362,339307
1630939623,3348,339125
1631026084,3362,338789
1631112544,3362,339308
1631199006,3363,339308
1631285464,3354,330574
1631371937,3353,339268
1631458402,3361,339029
1631544848,3354,338495
1631631310,3360,339290
1631717787,3351,339027
1631804228,3363,339309
1631890684,3355,338497
1631977151,3353,339037
1632063604,3360,339268
1632150064,3360,339306
1632236529,3353,327610
1632322987,3355,338888
1632409451,3355,338267
1632495902,3359,339275
1632582366,3356,337151
1632668826,3360,338794
1632755289,3358,339304
1632841745,3358,339049
1632928203,3357,338728
1633014668,3351,338782
1633101126,3352,339294
1633187584,3357,338777
1633274047,3356,339040
1633360503,3347,339250
1633446962,3359,338779
1633533428,3395,338549
1633619884,3360,338766
1633706343,3348,338501
1633792802,3360,339179
1633879264,3361,339307
1633965729,3357,339288
1634052182,3355,339294
1634138649,3357,339303
1634225116,3358,339293
1634311563,3354,331106
1634398116,3360,339276
1634484552,3361,338541
1634571002,3366,334226
1634657475,3391,337805
1634743925,3361,339275
1634830383,3363,338798
1634916859,3357,337456
1635003316,3360,339306
1635089767,3357,339303
1635176226,3356,339294
1635262716,3355,339255
1635349161,3361,339300
1635435602,3362,339053
1635522069,3357,337156
1635608531,3354,338260
1635694983,3348,333938
1635781443,3353,338718
1635867903,3352,338195
1635954372,3352,338887
1636040822,3370,338294
1636127302,3354,339236
1636213756,3353,339219
1636300207,3356,338280
1636386671,3347,338552
1636473126,3353,338910
1636559592,3364,339303
1636646053,3370,330830
1636732505,3358,339027
1636818967,3353,338523
1636905426,3354,338771
1636991890,3358,338709
1637078354,3352,339140
1637164803,3355,338993
1637251264,3358,331081
1637337726,3353,338942
1637424184,3362,339245
1637510647,3359,339305
1637597103,3362,339046
1637683598,3344,335196
1637770032,3362,339308
1637856485,3356,338792
1637942960,3351,338154
1638029403,3359,339049
1638115885,3356,339239
1638202324,3355,339174
1638288817,3357,339238
1638375245,3354,338788
1638461703,3363,339053
1638548168,3354,339040
1638634624,3356,339287
1638721086,3364,338785
1638807543,3355,338752
1638894003,3361,339299
1638980469,3358,339028
1639066930,3361,339307
1639153390,3355,339191
1639239843,3360,339303
1639326303,3355,339262
1639412771,3354,339246
1639499236,3361,339307
1639585686,3358,339302
1639672161,3355,338278
1639758602,3357,339192
1639845076,3361,338957
1639931526,3360,339284
1640017998,3357,339008
1640104455,3362,334954
1640190904,3362,339263
1640277366,3357,338792
1640363835,3364,339287
1640450296,3358,338265
1640536747,3353,338781
1640623203,3356,339273
1640709663,3351,339237
1640796124,3359,339050
1640882583,3358,339179
1640969043,3358,338760
1641055503,3355,338262
1641141968,3355,339286
1641228427,3357,339200
1641314887,3359,338764
1641401354,3360,339305
1641487803,3352,339203
1641574264,3355,338855
1641660763,3356,339031
1641747194,3358,339295
1641833651,3356,330856
1641920103,3358,338794
1642006589,3364,338797
1642093023,3355,339279
1642179482,3354,339044
1642265943,3355,338228
1642352403,3357,339033
1642438864,3363,339053
1642525328,3365,339296
1642611784,3356,339216
1642698246,3354,338756
1642784704,3359,339284
1642871168,3353,339200
1642957631,3359,339046
1643044087,3354,339299
1643130546,3364,339279
1643217003,3356,338937
1643303464,3362,339293
1643389922,3362,338797
1643476384,3346,337198
1643562850,3356,339294
1643649302,3360,330590
1643735767,3361,339180
1643822222,3358,330858
1643908693,3361,338541
1643995148,3357,339266
1644081603,3358,338792
1644254542,3356,338087
1644340982,3359,338537
1644427444,3358,339281
1644513902,3359,334157
1644600365,3357,339003
1644686847,3362,339044
1644773283,3349,339004
1644859777,3355,338218
1644946203,3357,339265
1645032664,3359,338793
1645119124,3350,327249
1645205600,3364,339277
1645292051,3361,338797
1645378503,3362,339307
1645464990,3355,339287
1645551429,3356,330839
1645637882,3359,338781
1645724358,3358,339266
1645810802,3354,339270
1645897286,3353,330847
1645983738,3357,338788
1646070190,3359,338986
1646156683,3358,338785
1646243103,3360,339298
1646329572,3355,339045
1646416022,3354,339297
1646502487,3352,339297
1646588949,3362,339300
1646675403,3358,339296
1646761867,3361,339244
1646848326,3351,338978
1646934784,3355,339301
1647021263,3358,339293
1647107703,3369,329015
1647194165,3355,338656
1647280624,3353,330838
1647367103,3350,339199
1647453571,3356,337865
1647540002,3358,330083
1647626463,3355,339293
1647712924,3358,339299
1647799392,3355,339280
1647885848,3353,339165
1647972313,3362,333640
1648058781,3357,338625
1648145255,3388,338819
1648231704,3359,339177
1648318149,3359,338540
1648404606,3363,339307
1648491070,3361,339052
1648577531,3344,338879
1648664018,3360,339264
1648750452,3362,330747
1648836903,3354,339045
1648923388,3351,338715
1649009830,3363,339309
1649096286,3353,338689
1649182748,3354,338993
1649269202,3358,338940
1649355671,3362,339031
1649442124,3359,331107
1649528589,3356,339285
1649615042,3356,338328
1649701504,3350,339253
1649787964,3353,339284
1649874422,3361,339270
1649960887,3349,335261
1650047342,3346,338806
1650133804,3354,338533
1650220268,3357,339033
1650306725,3361,339306
1650393182,3356,339273
1650479655,3350,338775
1650566112,3361,339296
1650652582,3361,338283
1650739030,3360,331108
1650825505,3351,337711
1650911954,3359,339288
1650998402,3356,338536
1651084866,3356,339029
1651171322,3359,339178
1651257785,3359,339275
1651344255,3352,338987
1651430703,3353,339285
1651517162,3354,339253
1651603623,3355,337454
1651690093,3353,339029
1651776549,3361,339179
1651863014,3358,335522
1651949470,3355,338036
1652035924,3360,339306
1652122385,3356,338428
1652208853,3354,331100
1652295304,3358,338493
1652381775,3354,339038
1652468229,3355,338951
1652554683,3361,339307
1652641148,3357,338947
1652727602,3380,331090
1652814062,3348,338739
1652900528,3355,337768
1652986986,3355,338760
1653073451,3360,339044
1653159905,3355,339292
1653246368,3349,334222
1653332833,3360,338022
1653419292,3350,273757
1653505744,3360,339304
1653592207,3359,339150
1653678669,3355,338514
1653765160,3361,339050
1653851582,3359,331084
1653938058,3358,339239
1654024504,3358,339303
1654110968,3361,339291
1654197427,3361,339052
1654283884,3361,334764
1654370354,3359,339154
1654456802,3391,338828
1654543269,3355,337995
1654629725,3394,338784
1654716188,3352,339200
1654802648,3355,338783
1654889103,3355,338774
1654975563,3362,339308
1655062032,3360,339291
1655148503,3356,338140
1655234942,3361,339293
1655321405,3349,339249
1655407881,3356,339254
1655494345,3358,339232
1655580786,3357,338517
1655667244,3361,330852
1655753713,3343,338687
1655840163,3357,339033
1655926641,3362,338796
1656013082,3360,339306
1656099547,3362,339237
1656186006,3357,339256
1656272472,3357,339303
1656358931,3361,339052
1656445391,3360,339299
