DateTime,AddedIPs,RemovedIPs
1612935126,5,0
1613023685,0,1
1613108165,0,1
1613196964,14,1
1613281685,0,1
1613455258,35,6
1613540167,10,0
1613625716,16,0
1613714416,14,14
1613798884,15,0
1613887725,4,0
1613972652,13,35
1614057849,15,0
1614146646,17,20
1614231364,14,12
1614320164,14,12
1614404884,14,5
1614489607,21,0
1614577924,19,29
1614662647,13,0
1614751450,19,32
1614836404,7,12
1614924727,19,0
1615009243,20,16
1615095126,10,41
1615181289,17,0
1615270325,23,33
1615355290,15,0
1615440484,13,7
1615528884,17,20
1615613529,12,13
1615700166,13,27
1615788486,9,26
1615872968,16,0
1615961764,22,30
1616046248,19,13
1616134804,17,14
1616219525,13,15
1616308329,19,6
1616392817,20,0
1616477525,11,14
1616566325,18,19
1616651285,18,40
1616739847,25,10
1617360115,34,159
1618122724,75,30
1618205767,17,0
1618294087,16,0
1618551125,60,0
1618640166,15,33
1618723927,14,0
1618812725,14,33
1618898165,17,0
1618983368,16,41
1619072647,21,19
1619157614,21,13
1619242804,18,0
1619332326,12,24
1619417046,13,0
1619503925,13,37
1619589366,24,27
1619678406,16,16
1619763131,16,21
1619848329,12,9
1619936885,5,0
1620021366,14,15
1620106810,13,13
1620196326,7,39
1620281287,13,0
1620369604,25,31
1620454564,17,9
1620540014,21,0
1620625208,15,11
1620713525,10,18
1620799687,26,0
1620884886,13,12
1620974165,16,27
1621059365,17,41
1621144325,13,0
1621232886,12,26
1621317681,37,0
1621406647,23,40
1621492568,26,16
1621577773,18,0
1621664409,26,29
1621750807,16,11
1621835527,16,0
1621925047,39,55
1622008565,22,0
1622097847,27,34
1622183287,24,30
1622268726,18,0
1622355133,14,14
1622441053,18,45
1622530085,17,27
1622615291,19,28
1622699528,23,0
1622788811,26,51
1622872333,17,0
1622959287,22,15
1623046810,17,34
1623132731,17,0
1623219365,21,23
1623305533,22,46
1623392650,18,0
1623480013,20,38
1623565929,12,19
1623653050,16,16
1623738970,17,20
1623825125,23,25
1623910329,17,0
1623997932,20,32
1624083854,11,0
1624169526,12,13
1624258328,13,34
1624343524,19,0
1624428730,18,23
1624514168,24,15
1624602726,16,18
1624688168,18,15
1624773852,12,13
1624859764,18,13
1624949052,18,37
1625034727,17,23
1625119686,21,19
1625205364,24,0
1625294884,25,25
1625380806,16,16
1625466006,14,26
1625551218,21,0
1625640489,22,33
1625726411,24,23
1625811608,23,24
1625900484,23,13
1625985367,14,0
1626070086,24,18
1626159367,25,39
1626244809,25,0
1626330249,19,22
1626415447,17,27
1626504730,22,24
1626589926,20,17
1626675366,17,44
1626761530,28,0
1626847284,19,30
1626936727,15,37
1627023620,20,23
1627109047,40,0
1627194247,8,17
1627280168,18,42
1627366567,22,24
1627452245,18,15
1627539609,24,0
1627625052,10,20
1627715047,27,44
1627800968,22,22
1627886646,8,20
1627972326,21,20
1628057528,21,21
1628143450,18,0
1628232488,24,39
1628317683,15,0
1628403368,18,22
1628492415,13,29
1628577846,14,22
1628663284,23,17
1628748726,14,20
1628834646,18,0
1628923924,13,35
1629009367,9,17
1629094808,12,0
1629180248,17,16
1629269288,18,38
1629354969,24,19
1629440405,24,13
1629525844,20,0
1629615848,6,18
1629701529,15,16
1629787683,25,18
1629873126,26,0
1629959047,10,26
1630045209,15,44
1630131125,18,7
1630220425,8,0
1630306088,14,15
1630391772,23,23
1630478886,26,38
1630564808,20,14
1630649768,26,0
1630739050,18,22
1630824489,14,0
1630910650,14,16
1630995129,25,23
1631084409,31,50
1631169848,41,25
1631255525,34,18
1631341211,19,0
1631429527,15,25
1631515447,20,0
1631601606,15,58
1631686332,25,0
1631775607,22,72
1631861285,13,25
1631948414,16,16
1632034084,16,0
1632119768,7,18
1632207128,11,37
1632291846,11,22
1632377527,16,0
1632464647,23,18
1632552247,10,20
1632637925,15,15
1632726255,10,20
1632811687,14,0
1632896405,20,11
1632986170,17,32
1633071130,9,8
1633156085,7,0
1633245129,8,28
1633328886,8,0
1633414565,9,17
1633504325,15,41
1633589285,12,0
1633674967,15,9
1633759925,14,5
1633849449,13,8
1633934886,12,16
1634020803,16,13
1634106483,6,0
1634192403,11,11
1634281923,12,31
1634367365,15,12
1634452085,7,0
1634537764,11,12
1634627051,13,25
1634711768,16,8
1634797204,26,13
1634883845,20,0
1634969765,16,16
1635056409,11,6
1635145690,13,24
1635230884,19,0
1635317765,21,43
1635403925,14,17
1635490329,26,17
1635576725,15,10
1635662887,7,14
1635749047,17,0
1635835925,22,38
1635922325,14,0
1636008486,31,14
1636095124,16,25
1636182013,26,24
1636268166,26,17
1636354815,15,21
1636440966,22,15
1636526646,28,0
1636611847,17,32
1636701125,24,43
1636786086,26,0
1636872011,19,21
1636957211,17,14
1637046485,19,51
1637131924,23,17
1637218567,19,23
1637304247,28,0
1637390412,33,22
1637476327,22,21
1637562007,18,14
1637648410,19,19
1637691130,12,30
1637737684,16,19
1637823368,28,26
1637909050,10,26
1637995449,23,22
1638080648,21,0
1638170405,10,43
1638255371,21,0
1638340806,22,24
1638426485,26,30
1638515767,19,35
1638602647,20,21
1638688092,15,12
1638773049,17,0
1638858726,19,27
1638946330,21,42
1639034168,24,22
1639118403,16,0
1639204087,14,19
1639293367,4,27
1639379053,9,21
1639464964,27,25
1639550883,44,0
1639636565,32,20
1639725604,17,26
1639811285,12,6
1639896723,35,0
1639981924,22,13
1640071448,36,56
1640157126,36,33
1640242814,17,18
1640328723,18,0
1640414884,19,15
1640501288,10,29
1640586968,16,63
1640676484,20,37
1640762403,24,22
1640848324,30,19
1640934252,12,21
1641019930,16,17
1641105847,13,0
1641191531,6,11
1641278885,19,21
1641364808,28,22
1641454084,26,37
1641539535,21,0
1641626406,14,31
1641711366,14,7
1641797046,16,20
1641885847,32,24
1641971525,19,25
1642057927,15,0
1642143367,31,26
1642228809,24,13
1642349047,20,33
1642430647,17,27
1642515847,26,21
1642605124,12,18
1642691047,28,27
1642776246,21,25
1642861449,11,23
1642950965,12,0
1643033770,11,18
1643123767,13,36
1643208725,17,0
1643294889,14,21
1643380331,19,24
1643465771,23,10
1643555528,18,11
1643641746,10,29
1643728219,14,0
1643814246,12,34
1643899211,12,0
1643985126,13,16
1644072965,12,43
1644160083,11,0
1644246590,12,24
1644331444,14,0
1644416646,17,14
1644506405,14,29
1644589210,24,0
1644675609,16,10
1644765131,17,22
1644851528,18,14
1644938118,13,19
1645024825,33,11
1645107537,30,0
1645194785,23,34
1645281172,11,18
1645370429,20,19
1645454891,10,0
1645540809,16,19
1645626739,19,27
1645712888,17,47
1645801454,19,13
1645887851,15,20
1645973048,12,0
1646058485,13,11
1646147288,27,35
1646232726,25,14
1646318411,21,20
1646404085,32,0
1646490485,17,12
1646579769,21,27
1646664968,19,22
1646751613,25,0
1646837049,25,24
1646922967,18,23
1647012006,23,53
1647097930,11,14
1647181685,13,0
1647270249,13,39
1647355685,18,0
1647442811,14,49
1647528246,28,23
1647614170,26,0
1647700327,19,12
1647789604,5,28
1647873128,25,0
1647961926,22,34
1648047365,27,0
1648132804,21,29
1648222329,19,42
1648308247,18,8
1648393448,9,0
1648478645,16,43
1648567207,14,29
1648653367,22,17
1648738564,18,21
1648823525,24,0
1648912327,25,19
1648997765,16,13
1649082968,8,12
1649169126,19,22
1649258648,14,40
1649343605,16,24
1649428808,21,22
1649514969,15,0
1649604488,9,33
1649690169,11,19
1649775607,15,12
1649860810,22,0
1649949846,34,38
1650035285,27,14
1650121449,13,12
1650208085,14,0
1650293285,8,10
1650381849,7,34
1650467285,13,18
1650552968,8,0
1650638408,6,29
1650724570,12,20
1650813369,6,28
1650898565,10,8
1650984966,13,0
1651073770,12,17
1651159207,13,6
1651244413,23,9
1651330087,8,10
1651416009,12,0
1651505284,9,23
1651591446,15,12
1651677850,15,0
1651763764,11,12
1651850886,14,33
1651936327,13,13
1652021286,8,5
1652110571,19,13
1652195284,10,0
1652280724,12,16
1652367127,15,16
1652453529,14,12
1652543048,7,26
1652628248,13,19
1652714650,8,0
1652800804,9,18
1652886009,16,15
1652971683,11,0
1653060964,2,26
1653147124,7,0
1653232567,17,13
1653317764,15,4
1653407047,18,31
1653492248,27,11
1653578169,17,4
1653664565,18,0
1653750484,5,7
1653839530,18,31
1653925206,23,18
1654011127,19,0
1654096807,15,27
1654182012,10,18
1654268172,10,17
1654356965,10,23
1654441930,5,0
1654528565,16,16
1654614070,19,20
1654702570,10,32
1654788723,16,10
1654874649,16,8
1654960325,12,0
1655048883,10,17
1655134568,20,17
1655220251,9,14
1655304968,19,0
1655394485,11,32
