DateTime,AddedIPs,RemovedIPs
1570172414,1,0
1570216104,5,2
1570478908,8,4
1570522589,2,3
1570566338,7,7
1570654096,3,0
1570697789,1,0
1570741711,5,6
1570785388,2,2
1570829298,1,2
1570916896,0,1
1571004502,1,2
1571048431,1,1
1571092107,1,6
1571135783,11,5
1571179451,1,0
1571223134,7,3
1571266819,1,0
1571310511,1,0
1571398350,4,4
1571660908,2,1
1571704829,1,4
1571748744,2,1
1571836357,1,1
1571880060,2,4
1571923689,1,2
1572011547,1,3
1572274125,6,6
1572361725,3,7
1572449075,3,3
1572624036,3,3
1572886585,2,2
1572974440,3,0
1573061797,3,14
1573105451,1,4
1573149138,2,2
1573236509,2,4
1573498586,2,3
1573585969,5,1
1573673552,1,1
1573760897,10,2
1573848283,1,8
1574110570,3,5
1574197945,3,6
1574285541,6,5
1574373141,10,3
1574416828,0,2
1574460523,5,1
1574678912,0,2
1574722570,1,3
1574766252,1,1
1574809945,6,6
1574853867,2,8
1574897534,3,1
1574941228,8,8
1574984899,1,4
1575028574,2,1
1575072514,2,8
1575291139,3,3
1575334817,3,1
1575466363,3,4
1575553973,3,3
1575641553,2,10
1575685210,1,0
1575903618,2,2
1575990989,6,21
1576078337,4,2
1576253075,2,0
1576515623,4,0
1576603224,11,5
1576690825,1,0
1576778432,8,0
1576865782,1,0
1577127852,1,0
1577215230,1,0
1578002424,3,0
1578089783,5,0
1578308433,1,0
1578352102,0,1
1578396266,1,0
1578439947,3,1
1578483611,1,1
1578527304,0,2
1578614655,1,0
1578658364,3,3
1578702019,1,0
1578920434,5,4
1579008032,0,2
1579095613,2,4
1579182981,1,2
1579532679,2,1
1579576330,4,2
1579620009,2,9
1579707369,3,5
1579794729,3,2
1579838417,9,6
1579882122,4,4
1580144179,5,4
1580232017,4,4
1580319379,4,4
1580406744,3,3
1580450432,1,1
1580494341,14,6
1580756433,10,4
1580843774,4,10
1580931145,5,4
1581018739,7,7
1581106093,5,5
1581149770,1,1
1581368169,10,19
1581412109,1,2
1581455783,2,3
1581499451,0,2
1581543159,4,2
1581586811,1,1
1581980192,2,3
1582024103,1,2
1582111461,3,1
1582198809,2,2
1582242507,1,1
1582286182,1,2
1583160494,2,5
1583248107,8,4
1583335449,3,0
1583422816,1,1
1583510167,1,0
1583772282,3,0
1583859637,1,0
1583946972,4,1
1584034331,1,1
1584121697,3,3
1584383774,0,1
1584471155,0,1
1584558513,2,4
1584645851,1,1
1584733210,0,1
1585170265,1,1
1585650737,1,0
1585912819,0,1
1586174902,1,1
1586349609,1,1
1586393301,2,1
1586873782,1,0
1586961620,3,1
1587398905,1,1
1587442568,2,0
1587573611,1,1
1587660974,1,1
1587748336,1,0
1587879382,1,0
1588010418,0,1
1588229064,3,3
1588272735,1,1
1588360329,1,0
1588622902,1,1
1588710260,1,2
1588753943,1,0
1588841300,2,0
1588884969,1,0
1588928912,4,0
1588972569,2,2
1589059944,2,2
1589190968,1,0
1589278578,4,4
1589453293,2,2
1589496968,1,0
1589803215,1,1
1589890812,1,1
1589934488,1,0
1590109455,2,3
1590153137,3,8
1590415460,3,4
1590502826,1,0
1590590175,1,0
1590677568,1,0
1590764894,1,1
1591114567,0,1
1591289288,1,1
1591376648,3,3
1591901050,1,1
1592250488,2,4
1592337853,2,2
1592468890,2,2
1592599930,1,4
1592818572,0,2
1592862274,4,4
1592949613,1,1
1593036972,1,1
1593080649,1,2
1593648737,1,5
1593736330,1,1
1594042329,1,1
1594129690,1,1
1594392013,0,2
1594654366,2,5
1594872732,2,8
1595266114,16,10
1597057236,1,1
1597406679,1,1
1597843477,1,1
1602301474,1,0
1602607237,1,1
1602694567,1,1
1603131369,20,15
1603393713,1,0
1603481051,1,0
1603830487,2,1
1604879549,1,0
1605185768,1,0
1605579155,2,1
1606278008,3,4
1606321689,3,1
1606365398,1,0
1606409076,1,1
1606933938,1,3
1607021287,1,1
1607370758,1,2
1607611209,4,5
1607961136,1,1
1608004810,3,3
1608048528,0,4
1608310594,1,0
1608572673,2,3
1608922325,1,1
1609184410,10,51
1609271768,2,3
1609534086,5,5
1613665275,1,0
1614627126,1,0
1615064985,1,0
1615152769,4,0
1615196434,1,0
1615240089,8,0
1615283769,4,0
1615327462,9,0
1615371130,1,0
1615414839,8,1
1615458491,0,1
1615502202,5,9
1615545848,0,1
1615589527,8,9
1615676889,4,2
1615764251,5,3
1615807934,1,0
1615851608,1,0
1615895289,3,1
1615938971,7,3
1616026332,5,1
1616070490,2,4
1616114172,2,5
1616157853,2,3
1616201527,1,4
1616332839,1,0
1616420171,6,1
1616463866,2,0
1616507529,4,2
1616551268,0,1
1616595134,3,1
1616769849,2,0
1617360207,23,27
1617403931,1,2
1618210817,7,5
1618560497,5,6
1618604186,1,1
1618867206,2,2
1618998261,1,1
1619085616,1,1
1619129296,2,3
1619172981,1,3
1619544729,0,1
1619632090,3,0
1619719456,2,1
1620200187,1,0
1620243853,1,1
1620418568,1,0
1620680673,0,2
1620855374,1,2
1621380732,1,3
1621468093,2,1
1621949551,0,1
1622080834,1,2
1622212346,0,1
1622474893,0,1
1622562249,1,1
1622649630,5,7
1622737451,2,5
1622847147,0,2
1623153143,1,1
1623240503,2,2
1623349928,2,3
1623700350,2,1
1623853693,0,1
1624902738,2,3
1625077933,1,6
1625253127,1,1
1625449931,1,2
1625581217,4,4
1625756421,1,1
1625844025,3,1
1626019217,2,2
1626106572,1,0
1626193928,1,0
1626281289,2,3
1626652819,3,0
1626741143,1,1
1626784819,1,0
1626872174,3,3
1626959538,0,1
1627003212,1,0
1627046900,7,2
1627309451,1,0
1627484430,1,0
1627572009,1,0
1627659372,2,0
1628009289,1,0
1628096916,5,3
1628533928,4,3
1628621288,2,1
1628708672,0,1
1629211938,2,0
1629299529,3,4
1629474736,3,1
1629803058,0,1
1630065369,4,2
1630109070,1,0
1630284010,0,2
1630349537,1,1
1630437130,0,1
1631027768,2,3
1631202739,1,1
1631268275,1,0
1631727126,2,2
1631814493,0,1
1632098423,1,0
1632207875,1,0
1632338886,2,1
1632513628,3,3
1632994326,1,0
1633081947,1,0
1633125616,2,0
1633388650,2,0
1633519948,1,0
1633607527,4,3
1633695169,1,1
1633957229,2,1
1634306671,0,2
1634350569,1,1
1634568969,3,5
1634656349,2,1
1634743950,0,1
1634831978,6,6
1636057987,1,1
1636364649,0,1
1636495688,2,2
1636670406,1,0
1636757802,1,0
1636932489,1,0
1637107239,1,1
1637151150,2,0
1637282413,1,0
1637326352,1,1
1637763850,2,2
1637851952,1,1
1638201850,1,0
1638289208,2,2
1638376808,2,2
1638464406,2,1
1638551788,0,2
1638814329,3,2
1639600828,3,2
1639688190,1,3
1640387789,1,1
1641308431,1,1
1641876485,1,1
1642007787,1,0
1642095148,3,2
1642182492,2,3
1642445048,1,1
1642620272,0,1
1643145853,2,3
1643233450,1,3
1643277152,1,0
1643364510,0,1
1643408167,1,4
1643670492,1,1
1643757850,3,3
1643845206,1,0
1643888912,0,1
1643932592,1,1
1644019926,1,1
